SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10 ; 11 ; 12 ; 13 ; 14 ; 15 ; 16 ; 17 ; 18 ; 19 ; 20 ; 21 ; 22 ; 23 ;  Total geral  ;X;Y
10027;638;1;1;LEONTINO FRANCISCO ALVES, AVE;489;;;;;; 29 ;;;;;;;;;;;;;;;;;;; 29 ;609098.08;7810295.17
10030;3302B;2;1;JOAO MOREIRA DA ROCHA, RUA;21;;;;;;; 7 ;;; 4 ;;; 3 ;;;;;;;;;;;; 14 ;606536.48;7803065.94
10031;9503;1;2;CYRO VAZ DE MELO, RUA;240;;;;;; 1 ; 6 ; 6 ; 4 ; 8 ;; 3 ; 2 ; 2 ; 3 ;;; 4 ; 1 ; 0 ;;;;; 39 ;610269.49;7803710.12
10032;9503;1;2;CYRO VAZ DE MELO, RUA;536;;;;;;; 10 ; 15 ; 8 ;; 1 ; 8 ; 3 ; 5 ; 5 ; 2 ; 3 ; 1 ; 1 ;; 1 ; 1 ; 1 ;; 66 ;610506.22;7803616.24
10033;619;3;1;ALVARES DE AZEVEDO, RUA;60;;;;;;;;;;; 6 ;;; 2 ;; 2 ;; 3 ;; 1 ;;;;; 13 ;607775.53;7807715.42
10035;4205;1;2;ALVARO MATA, RUA;523;;;;;;;;;;;;;;; 1 ; 1 ;; 1 ;;;; 1 ;;; 5 ;609023.7;7800997.92
10036;9501;1;2;IGINO BONFIOLI, RUA;47;;;;;; 6 ; 19 ;;;;;;;;;; 2 ; 12 ;;;;;; 2 ; 40 ;610001.78;7804146.41
10036;9501;7;2;IGINO BONFIOLI, RUA;47;;;;;;;;;;;;;;;;;; 9 ;;;;;;; 9 ;610001.78;7804146.41
10038;9501;1;2;IGINO BONFIOLI, RUA;225;;;;;;;;;;;;;;;;;;;;;; 2 ;;; 2 ;609862.21;7804247.03
10039;9501;1;1;IGINO BONFIOLI, RUA;322;;;;;; 9 ; 14 ; 6 ;;;; 17 ; 6 ; 1 ;;;; 8 ;;;; 2 ; 2 ;; 64 ;609787.18;7804312.65
10041;504;1;1;AMERICO VESPUCIO, AVE;365;;;;;; 2 ; 9 ; 7 ; 5 ; 3 ; 6 ; 5 ; 3 ;; 4 ; 5 ; 8 ; 17 ; 4 ;; 1 ; 1 ;;; 79 ;609422.83;7800548.61
10041;504;2;1;AMERICO VESPUCIO, AVE;365;;;;;;;;;;;;;;;;;;;;;; 1 ;;; 1 ;609422.83;7800548.61
10041;4102;1;1;AMERICO VESPUCIO, AVE;365;;;;;;;;; 18 ;;;; 22 ; 23 ; 14 ;;;;; 3 ;;;;; 81 ;609422.83;7800548.61
10041;4205;1;1;AMERICO VESPUCIO, AVE;365;;;;;; 5 ; 8 ; 5 ; 7 ; 2 ; 11 ; 1 ; 3 ;; 2 ;;; 3 ; 2 ;;; 2 ;;; 50 ;609422.83;7800548.61
10042;504;1;1;AMERICO VESPUCIO, AVE;435;;;;;;; 5 ; 7 ; 3 ;;; 2 ; 4 ; 3 ; 4 ; 1 ;;; 2 ;;; 1 ;;; 33 ;609322.85;7800457.36
10042;504;2;1;AMERICO VESPUCIO, AVE;435;;;;;;;;;;;;;;;;;;;;;;; 9 ;; 9 ;609322.85;7800457.36
10042;4102;1;1;AMERICO VESPUCIO, AVE;435; 6 ;;;;;;; 23 ;;; 11 ; 11 ;;;;;;;;;;;;; 51 ;609322.85;7800457.36
10042;4205;1;1;AMERICO VESPUCIO, AVE;435;;;; 1 ;; 3 ; 5 ; 14 ; 5 ; 14 ; 6 ; 3 ; 6 ; 5 ;;; 2 ;; 6 ; 5 ; 1 ;; 1 ;; 75 ;609322.85;7800457.36
10043;503;1;1;AMERICO VESPUCIO, AVE;560;;;;;; 2 ; 2 ; 3 ; 2 ;; 1 ;; 3 ; 2 ;; 4 ; 3 ; 6 ; 4 ; 4 ;;;;; 35 ;609289.63;7800454.46
10043;4102;1;2;AMERICO VESPUCIO, AVE;560;;;;;;;; 13 ; 1 ;;; 1 ;;;;;;;;;;;;; 16 ;609289.63;7800454.46
10043;4205;1;2;AMERICO VESPUCIO, AVE;560;;;;;; 2 ;; 1 ; 1 ;;; 1 ;;;;;;; 1 ;;;; 1 ;; 8 ;609289.63;7800454.46
10044;503;1;1;AMERICO VESPUCIO, AVE;570;;;;;; 2 ; 7 ; 5 ; 2 ; 3 ; 1 ; 6 ;;;;; 5 ; 18 ;;;;;;; 50 ;609537.05;7800677.06
10044;4102;1;2;AMERICO VESPUCIO, AVE;570;;;;;;;; 3 ;; 13 ;;;; 4 ;;;;; 2 ;;;;;; 22 ;609537.05;7800677.06
10044;4103;1;2;AMERICO VESPUCIO, AVE;570;;;;;;;;;;;;;;;; 6 ; 9 ; 4 ;;;;;;; 20 ;609537.05;7800677.06
10044;4103;6;1;AMERICO VESPUCIO, AVE;570;;;;;; 1 ; 1 ; 2 ;;; 2 ;;;;;;;;;;;; 1 ;; 8 ;609537.05;7800677.06
10044;4205;1;2;AMERICO VESPUCIO, AVE;570;;;;;;;;;;;;;;; 1 ; 1 ;;;;;;;;; 3 ;609537.05;7800677.06
10045;504;1;1;AMERICO VESPUCIO, AVE;759;;;;;; 2 ; 4 ; 2 ; 3 ; 1 ;; 2 ; 1 ;; 1 ; 2 ; 3 ; 11 ; 6 ;; 3 ;;;; 42 ;609175.57;7800243.68
10045;504;2;1;AMERICO VESPUCIO, AVE;759;;;;;;;;;;;;;;;;;;;;;; 1 ; 9 ;; 9 ;609175.57;7800243.68
10045;4102;1;1;AMERICO VESPUCIO, AVE;759;;;;; 1 ;;;;;; 5 ;;;;;;;; 9 ;;;;;; 15 ;609175.57;7800243.68
10046;503;1;1;AMERICO VESPUCIO, AVE;780;;;;;; 2 ; 6 ; 1 ; 2 ;; 2 ; 1 ; 3 ;; 1 ; 7 ; 3 ; 6 ;; 2 ;;;;; 38 ;609122.9;7800208.53
10046;503;2;1;AMERICO VESPUCIO, AVE;780;;;;;;;;;;;;;;;;;;;;;;;; 12 ; 12 ;609122.9;7800208.53
10046;4102;1;2;AMERICO VESPUCIO, AVE;780;;;;;;; 3 ;;; 2 ; 3 ;;;;;; 5 ;; 1 ;; 1 ;;;; 15 ;609122.9;7800208.53
10047;503;1;1;AMERICO VESPUCIO, AVE;1022;;;;;;; 2 ;;; 3 ;;;;;; 4 ;; 6 ;;;;;;; 15 ;608976.35;7800040.41
10047;4102;1;2;AMERICO VESPUCIO, AVE;1022;;;;;;;;; 4 ;;; 7 ;;;;;;;;;;;;; 12 ;608976.35;7800040.41
10048;504;1;1;AMERICO VESPUCIO, AVE;1029;;;;;; 7 ; 4 ; 5 ; 3 ; 5 ;; 2 ; 2 ; 3 ; 1 ; 2 ; 2 ; 4 ; 18 ;; 1 ;;;; 60 ;608990.9;7800021.04
10048;4102;1;1;AMERICO VESPUCIO, AVE;1029;;;;;;;; 21 ; 34 ;;;;;;;;;;;;;;;; 55 ;608990.9;7800021.04
10049;640;1;1;MARIA LUCIA PETIT, RUA;313;;;;;;;; 3 ;;;;;;;;;; 11 ;;;;;;; 13 ;606194.31;7808648.09
