"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"X";"Y"
"10001";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"122";0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;"608912.57";"7807026.94"
"10002";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"159";0;0;0;0;0;3;1;0;0;1;0;2;0;1;0;4;0;4;0;1;0;0;0;0;17;"608946.24";"7807002.38"
"10003";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"317";0;0;0;0;0;0;2;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;7;"609061.86";"7806844.34"
"10004";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"434";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;"609071.78";"7806810.24"
"10005";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"565";0;0;0;0;0;2;0;0;4;0;1;1;2;4;2;2;2;3;5;1;0;0;0;0;29;"609195.9";"7806661.41"
"10006";"717";"5";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"636";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;"609197.28";"7806639.18"
"10006";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"636";0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;4;"609197.28";"7806639.18"
"10007";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"759";0;0;0;0;0;0;3;1;0;3;5;3;0;0;6;0;5;3;5;1;0;0;0;0;35;"609282.38";"7806544.25"
"10008";"719";"1";"1";"GENERAL CARLOS GUEDES, AVE";"88";0;0;0;0;0;1;1;1;1;4;3;6;1;0;0;4;0;2;0;0;0;0;0;0;24;"609936.94";"7805939"
"10009";"719";"1";"1";"GENERAL CARLOS GUEDES, AVE";"137";0;0;0;0;3;7;2;16;1;4;1;4;3;3;2;5;4;2;1;0;0;0;0;0;58;"609922.56";"7805952.57"
"10009";"719";"4";"1";"GENERAL CARLOS GUEDES, AVE";"137";0;0;0;0;0;1;25;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;28;"609922.56";"7805952.57"
"10010";"719";"1";"1";"GENERAL CARLOS GUEDES, AVE";"300";0;0;0;0;0;0;4;2;0;0;3;1;0;1;2;1;3;5;1;0;0;0;0;0;23;"610099.28";"7806093.81"
"10012";"719";"4";"1";"GENERAL CARLOS GUEDES, AVE";"519";0;0;0;0;0;4;20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;25;"610189.8";"7806209.73"
"10012";"719";"1";"1";"GENERAL CARLOS GUEDES, AVE";"519";0;0;0;0;1;5;13;14;11;0;0;0;2;4;3;4;5;1;2;0;0;0;0;0;65;"610189.8";"7806209.73"
"10012";"717";"2";"1";"GENERAL CARLOS GUEDES, AVE";"519";0;0;0;0;0;0;0;0;1;0;4;0;0;1;2;1;0;0;1;1;0;0;0;0;11;"610189.8";"7806209.73"
"10012";"719";"5";"1";"GENERAL CARLOS GUEDES, AVE";"519";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;"610189.8";"7806209.73"
"10014";"717";"2";"1";"GENERAL CARLOS GUEDES, AVE";"760";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"610318.99";"7806462.93"
"10016";"644";"1";"1";"GONCALVES, RUA";"57";0;0;0;0;1;8;11;4;2;0;0;4;3;3;1;0;0;4;0;0;0;0;0;0;41;"608430.09";"7808621.61"
"10016";"609";"3";"1";"GONCALVES, RUA";"57";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"608430.09";"7808621.61"
"10017";"609";"1";"1";"GONCALVES, RUA";"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;"608397.08";"7808619"
"10017";"644";"1";"1";"GONCALVES, RUA";"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;"608397.08";"7808619"
"10018";"644";"1";"1";"GONCALVES, RUA";"255";0;0;0;0;3;5;14;9;1;0;3;0;0;0;0;4;0;2;0;0;0;0;0;0;41;"608204.7";"7808520.43"
"10018";"609";"3";"1";"GONCALVES, RUA";"255";0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;3;"608204.7";"7808520.43"
"10018";"609";"2";"1";"GONCALVES, RUA";"255";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"608204.7";"7808520.43"
"10020";"641";"3";"1";"LEONTINO FRANCISCO ALVES, AVE";"12";0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;74;"609834.96";"7810555.41"
"10020";"641";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"12";0;0;0;0;0;0;5;0;0;3;2;0;0;0;0;0;0;2;0;0;0;0;0;0;12;"609834.96";"7810555.41"
"10022";"637";"4";"1";"LEONTINO FRANCISCO ALVES, AVE";"209";0;0;0;0;0;7;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;"609520.75";"7810438.61"
"10022";"637";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"209";0;0;0;0;0;1;0;0;1;4;1;1;0;0;0;0;1;0;0;0;0;0;0;0;9;"609520.75";"7810438.61"
"10023";"631";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"210";0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"609523.81";"7810450.13"
"10023";"637";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"210";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"609523.81";"7810450.13"
"10023";"631";"2";"1";"LEONTINO FRANCISCO ALVES, AVE";"210";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"609523.81";"7810450.13"
"10024";"638";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"275";0;0;0;0;0;4;8;1;1;2;0;0;0;0;0;0;0;0;3;1;1;0;0;0;21;"609347.98";"7810379.95"
"10026";"631";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"472";0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"609112.61";"7810310.69"
