SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10916;607;1;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;2;3;2;1;;7;;1;5;3;1;;7;22;;;;;53;607894.18;7809440.9
10916;621;1;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;3;1;3;;;;;25;;4;;;;;;2;1;;39;607894.18;7809440.9
10916;622;1;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;;1;;;;;;;;;;3;1;;;;;;5;607894.18;7809440.9
10916;623;1;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;;;;4;0;;;;;;;;3;;1;;;;8;607894.18;7809440.9
10916;624;1;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;1;1;;;1;;;2;;;0;;;;;;;;6;607894.18;7809440.9
10916;625;1;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;5;6;;;;3;;1;0;2;6;1;1;2;;2;;;28;607894.18;7809440.9
10916;627;6;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;1;1;3;;;2;1;2;1;2;2;4;;;0;;;;19;607894.18;7809440.9
10916;634;1;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;1;1;2;1;3;3;4;4;1;2;1;6;0;2;;;;;33;607894.18;7809440.9
10916;634;4;1;PADRE PEDRO PINTO, RUA;2410;;;;;;;;;2;4;1;3;1;;;3;2;;5;;;;;;21;607894.18;7809440.9
10916;640;1;1;PADRE PEDRO PINTO, RUA;2410;;;;;;1;;;1;1;2;;4;0;0;;2;28;3;2;44;1;;;89;607894.18;7809440.9
50049;624;1;1;GENEROSO C.DA ROCHA, RUA;126;;;;;3;4;;;;;;;;;;;;;1;;;1;;;10;605196.06;7810935.97
50049;624;2;1;GENEROSO C.DA ROCHA, RUA;126;;;;;27;;;;;;;;;;;;;;;;;;;;27;605196.06;7810935.97
12342;624;1;1;IRMA LUCIA, RUA;150;;;;;3;9;2;1;;;;4;;;;;;2;;;;;;;21;605233.7;7810694.7
10917;607;1;1;PADRE PEDRO PINTO, RUA;2507;;;;;;;6;4;2;;;4;;1;2;1;1;;;;2;;;;23;607746.28;7809612.68
10917;621;1;1;PADRE PEDRO PINTO, RUA;2507;;;;3;4;9;7;1;2;;4;;;;;;2;0;;;;;;;33;607746.28;7809612.68
10917;622;1;1;PADRE PEDRO PINTO, RUA;2507;;;;;;4;4;2;;;;;;;;;;2;;2;;;;;15;607746.28;7809612.68
10917;623;1;1;PADRE PEDRO PINTO, RUA;2507;;;;;;5;1;;;;;;;;;;;0;;;1;;;;7;607746.28;7809612.68
10917;624;1;1;PADRE PEDRO PINTO, RUA;2507;;;;;4;24;36;15;;;1;1;1;2;;22;1;;;;;;;;108;607746.28;7809612.68
10917;624;2;1;PADRE PEDRO PINTO, RUA;2507;;;;;5;;;;;;;;;;;;;;;;;;;;5;607746.28;7809612.68
10917;625;1;1;PADRE PEDRO PINTO, RUA;2507;;;;;2;2;;5;;5;2;;;1;0;0;3;1;;;;;;;20;607746.28;7809612.68
10917;626;6;1;PADRE PEDRO PINTO, RUA;2507;;;;;23;17;28;9;6;;1;3;5;;30;;;7;;1;;;;;129;607746.28;7809612.68
10917;627;6;1;PADRE PEDRO PINTO, RUA;2507;;;;;6;20;30;3;2;6;5;3;1;;1;;;9;;;;1;;;87;607746.28;7809612.68
10917;634;1;1;PADRE PEDRO PINTO, RUA;2507;;;;;2;3;6;6;;2;29;;3;;;1;;;2;;;;;;55;607746.28;7809612.68
10917;634;4;1;PADRE PEDRO PINTO, RUA;2507;;;;;1;1;;;1;;;3;;;3;;1;1;1;;;;;;12;607746.28;7809612.68
10917;640;1;1;PADRE PEDRO PINTO, RUA;2507;;;;;2;3;;;1;;;0;;;;;0;28;;;;;;;35;607746.28;7809612.68
50098;624;1;1;GENEROSO C.DA ROCHA, RUA;361;;;;;8;50;51;27;8;10;11;8;;5;;28;9;1;1;;;;;;217;605093.04;7811193.35
50097;624;1;1;GENEROSO C. DA ROCHA, RUA;240;;;;;1;10;21;4;;7;;5;;;;;0;0;;;;;1;;49;605116.08;7811156.69
10953;624;1;1;JOAO FERREIRA DA SILVA, RUA;1874;;;;;2;;4;;;;;;;;;;;;2;;;;;;8;605166.31;7810300.32
12567;624;1;1;DONA GENI, RUA;182;;;;;4;1;;;2;2;;;1;;;1;1;;2;;;;;;14;605090.63;7810116.39
12440;624;1;1;DONA GENI, RUA;58;;;;;1;5;;;;3;;;;;;44;;;;;;;;;53;605110.51;7810252.84
10935;621;1;1;PADRE PEDRO PINTO, RUA;6291;;;;;1;11;3;2;4;18;4;3;5;51;;9;5;1;0;;1;;;;117;605140.75;7809983.28
10935;622;1;1;PADRE PEDRO PINTO, RUA;6291;;;;;;6;7;6;;;;;;;;;;2;;;;;;;21;605140.75;7809983.28
10935;624;1;1;PADRE PEDRO PINTO, RUA;6291;;;;;3;6;5;1;2;3;;4;;1;;22;;0;1;;;;;;49;605140.75;7809983.28
10920;607;1;1;PADRE PEDRO PINTO, RUA;2749;;;;;;;4;1;1;;1;;;;;;;;;;;;;;7;607544.67;7809791.54
10920;621;1;1;PADRE PEDRO PINTO, RUA;2749;;;;1;;;;1;;;;;;;;;;;;;;;1;;3;607544.67;7809791.54
10920;622;1;1;PADRE PEDRO PINTO, RUA;2749;;;;;;1;;;;;;;;;;;;;;;;;;;1;607544.67;7809791.54
10920;623;1;1;PADRE PEDRO PINTO, RUA;2749;;;;;;1;2;0;;;1;;;;;;;;;;;;;;4;607544.67;7809791.54
10920;624;1;1;PADRE PEDRO PINTO, RUA;2749;;;;;1;2;;;;;;;;2;;;;;;;;;;;5;607544.67;7809791.54
10920;624;2;1;PADRE PEDRO PINTO, RUA;2749;;;;;1;;;;;;;;;;;;;;;;;;;;1;607544.67;7809791.54
10920;625;1;1;PADRE PEDRO PINTO, RUA;2749;;;;;;;2;;;;;;;1;;;;;;;;;;;3;607544.67;7809791.54
10920;626;6;1;PADRE PEDRO PINTO, RUA;2749;;;;;;3;2;1;;;;5;;0;;;;1;;;;;;;13;607544.67;7809791.54
10920;626;10;1;PADRE PEDRO PINTO, RUA;2749;;;;;;;;;;;;;;;;;;;;;1;;;;1;607544.67;7809791.54
10920;627;6;1;PADRE PEDRO PINTO, RUA;2749;;;;;1;1;1;;1;;;1;;;1;1;;;;;;;;;7;607544.67;7809791.54
10920;634;1;1;PADRE PEDRO PINTO, RUA;2749;;;;;;2;1;2;5;;1;;;;1;2;;1;;;;;;;16;607544.67;7809791.54
10920;634;6;1;PADRE PEDRO PINTO, RUA;2749;;;;;;;;1;;;;;;;;;;;;;;;;;1;607544.67;7809791.54
10920;634;4;1;PADRE PEDRO PINTO, RUA;2749;;;;;;;;;;;;;1;;1;;;;;;;;;;3;607544.67;7809791.54
50109;624;1;1;GENEROSO C.DA ROCHA, RUA;83;;;;;3;20;28;17;3;6;5;22;;10;;;2;2;1;;;1;;;122;605181.67;7810965.16
11982;624;1;1;COVA IRIA, RUA;337;;;;;1;5;8;3;2;6;;;;2;;;1;;;1;;;;;28;605166.13;7810641.2
10928;621;1;1;PADRE PEDRO PINTO, RUA;5575;;;;2;;;1;;;;;;;;;3;5;;;;;;;;10;606155.07;7809932.85
10928;622;1;1;PADRE PEDRO PINTO, RUA;5575;;;;;;4;1;2;;;;;;;;;;;1;;;;;;8;606155.07;7809932.85
10928;623;1;1;PADRE PEDRO PINTO, RUA;5575;;;;;;3;4;;;26;;;;1;;;2;;;;;;;;36;606155.07;7809932.85
10928;624;1;1;PADRE PEDRO PINTO, RUA;5575;;;;;1;1;;;2;;;;;;;;;1;1;;;;;;7;606155.07;7809932.85
11981;624;1;1;COVA IRIA, RUA;111;;;;;;14;9;8;;1;;2;;;;;1;0;1;3;;;;;40;605105.51;7810469.79
10926;607;1;1;PADRE PEDRO PINTO, RUA;5155;;;;;;;4;4;;1;;;;2;1;;1;1;3;;;;;;17;606380.55;7809924.86
10926;621;1;1;PADRE PEDRO PINTO, RUA;5155;;;;;;1;2;;;;;;;25;;;5;;;;;;;;33;606380.55;7809924.86
10926;622;1;1;PADRE PEDRO PINTO, RUA;5155;;;;;;;1;1;;;;;;;;;;;;;;;;;2;606380.55;7809924.86
10926;623;1;1;PADRE PEDRO PINTO, RUA;5155;;;;;;;;2;;;;1;;;;;2;;;1;;;;;6;606380.55;7809924.86
10926;624;1;1;PADRE PEDRO PINTO, RUA;5155;;;;;;1;;;;2;;;;;;;;1;1;;;;1;;6;606380.55;7809924.86
10926;625;1;1;PADRE PEDRO PINTO, RUA;5155;;;;;;;;1;;;;4;;;;;18;;1;;;;;;24;606380.55;7809924.86
10926;626;6;1;PADRE PEDRO PINTO, RUA;5155;;;;;;1;7;;;;1;;;;;;5;;;;;;;;13;606380.55;7809924.86
10933;623;1;1;PADRE PEDRO PINTO, RUA;6121;;;;;;1;;1;;22;;1;;;;;;;;;;;;;25;605361.11;7809976.44
10933;624;1;1;PADRE PEDRO PINTO, RUA;6121;;;;;;2;1;3;1;;;;;4;;;;;;;;;;;12;605361.11;7809976.44
10925;607;1;1;PADRE PEDRO PINTO, RUA;4951;;;;;;;4;1;2;1;;;;;;;;1;2;;;;;;12;606682.61;7809918.06
10925;621;1;1;PADRE PEDRO PINTO, RUA;4951;;;;;;1;;;;;;;;;0;;;;;;;;;;1;606682.61;7809918.06
10925;622;1;1;PADRE PEDRO PINTO, RUA;4951;;;;;;;1;2;;;;;;;;;;;;;;;;;3;606682.61;7809918.06
10925;623;1;1;PADRE PEDRO PINTO, RUA;4951;;;;;;;;1;;;;;;;;;;;;;;;;;1;606682.61;7809918.06
