SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10026;631;2;1;LEONTINO FRANCISCO ALVES, AVE;472;;;;;3;;;;;;;;;;;;;;;;;;;;3;609112.61;7810310.69
10027;630;1;1;LEONTINO FRANCISCO ALVES, AVE;489;;;;1;;;;;;;;;;;;;;;;;;;;;1;609098.08;7810295.17
10027;638;1;1;LEONTINO FRANCISCO ALVES, AVE;489;;;;;;;10;;;;;1;;1;;;;;;;2;;;;15;609098.08;7810295.17
10028;631;2;1;LEONTINO FRANCISCO ALVES, AVE;540;;;;;3;;;;;;;;;;;;;;;;;;;;3;609347.49;7810390.29
10029;631;1;1;LEONTINO FRANCISCO ALVES, AVE;642;;;;;4;2;;;;;;;;;;;;;;;;;;;7;608937.4;7810251.01
10029;631;2;1;LEONTINO FRANCISCO ALVES, AVE;642;;;;;2;;;;;;;;;;;;;;;;;;;;2;608937.4;7810251.01
10030;3302B;1;1;JOAO MOREIRA DA ROCHA, RUA;21;;;;;;1;;;;;;;;;;;;;;;;;;;1;606536.48;7803065.94
10030;3302B;2;1;JOAO MOREIRA DA ROCHA, RUA;21;;;;;2;2;9;;;2;;;2;;;;;2;;;;;;;18;606536.48;7803065.94
10031;9503;1;2;CYRO VAZ DE MELO, RUA;240;;;;;;;11;12;8;2;6;8;2;10;4;;1;6;1;1;;;;;72;610269.49;7803710.12
10032;9503;1;2;CYRO VAZ DE MELO, RUA;536;;;;;;;12;12;4;;;6;4;6;3;2;5;3;2;1;;;;;61;610506.22;7803616.24
10033;619;3;1;ALVARES DE AZEVEDO, RUA;60;;;;;;1;;;;;;;;;;;;;;;;;;;1;607775.53;7807715.42
10034;619;3;1;ALVARES DE AZEVEDO, RUA;66;;;;;;1;;;;;;;;;;2;1;;;;;;;;4;607823.72;7807736.22
10035;4205;1;2;ALVARO MATA, RUA;523;;;;;;;;;;;;;;;;;1;;;;;;;;1;609023.7;7800997.92
10036;9501;1;2;IGINO BONFIOLI, RUA;47;;;;;;1;6;10;;1;2;;;2;3;2;;;;;;;2;1;29;610001.78;7804146.41
10036;9501;7;2;IGINO BONFIOLI, RUA;47;;;;;;;1;;5;;;2;;5;;3;;1;1;;;;;;18;610001.78;7804146.41
10038;9501;1;2;IGINO BONFIOLI, RUA;225;;;;;;;6;;;;;;;;;;;;;;;;;2;8;609862.21;7804247.03
10038;9501;7;2;IGINO BONFIOLI, RUA;225;;;;;;;7;;;3;5;;;2;;;;1;;;;;;;18;609862.21;7804247.03
10041;504;1;1;AMERICO VESPUCIO, AVE;365;;;;;2;2;9;4;3;;3;3;;5;3;7;13;6;1;;2;;;;62;609422.83;7800548.61
10041;504;2;1;AMERICO VESPUCIO, AVE;365;;;;;;;;;;;;;;;;;;;;;;;3;;3;609422.83;7800548.61
10041;4102;1;1;AMERICO VESPUCIO, AVE;365;;;;;;3;11;15;1;7;2;2;7;1;;1;1;8;4;;;;;;65;609422.83;7800548.61
10041;4205;1;1;AMERICO VESPUCIO, AVE;365;;;;;;1;8;4;4;;1;;;7;2;2;;9;2;2;;;;;42;609422.83;7800548.61
10042;504;1;1;AMERICO VESPUCIO, AVE;435;;;;;;5;2;3;1;2;3;;6;2;;3;4;3;3;;3;;;;40;609322.85;7800457.36
10042;4102;1;1;AMERICO VESPUCIO, AVE;435;;;;;;3;11;5;14;;3;6;8;9;11;1;1;5;3;;;;;;81;609322.85;7800457.36
10042;4205;1;1;AMERICO VESPUCIO, AVE;435;;;;;;4;6;5;1;2;;5;;3;;;;;;;;;;;26;609322.85;7800457.36
10043;503;1;1;AMERICO VESPUCIO, AVE;560;;;;;;6;10;8;;;4;7;3;6;1;;6;3;5;5;;;;;63;609289.63;7800454.46
10043;503;2;1;AMERICO VESPUCIO, AVE;560;;;;;;;;;;;;;;;;;;;;;1;;;;1;609289.63;7800454.46
10043;4102;1;2;AMERICO VESPUCIO, AVE;560;;;;;;;2;;3;;3;;;3;1;;4;5;;;;;;;21;609289.63;7800454.46
10043;4205;1;2;AMERICO VESPUCIO, AVE;560;;;;;;;;;;;;1;2;6;;;3;;1;1;;;;1;15;609289.63;7800454.46
10044;503;1;1;AMERICO VESPUCIO, AVE;570;;;;;;3;11;2;3;2;2;;3;;2;;2;6;;;;;;;37;609537.05;7800677.06
10044;503;2;1;AMERICO VESPUCIO, AVE;570;;;;;;;;;;;;;;;;;;;;;;;;2;2;609537.05;7800677.06
10044;4102;1;2;AMERICO VESPUCIO, AVE;570;;;;;;;;3;1;;;1;;;;;1;1;1;;;;;;9;609537.05;7800677.06
10044;4103;1;2;AMERICO VESPUCIO, AVE;570;;;;;;;;1;;;;;;;;;1;1;1;;;;;;4;609537.05;7800677.06
10044;4103;6;1;AMERICO VESPUCIO, AVE;570;;;;;;;2;;3;;5;;;;;;1;;2;;;;;;14;609537.05;7800677.06
10044;4205;1;2;AMERICO VESPUCIO, AVE;570;;;;;;1;;;;1;2;;2;;4;;3;;1;;;;;;13;609537.05;7800677.06
10045;504;1;1;AMERICO VESPUCIO, AVE;759;;;;;3;2;5;3;;2;;6;3;3;5;2;1;1;3;1;;;;;40;609175.57;7800243.68
10045;504;2;1;AMERICO VESPUCIO, AVE;759;;;;;;;;;;;;;;;;;;;;;;3;3;;6;609175.57;7800243.68
10045;4102;1;1;AMERICO VESPUCIO, AVE;759;;;;;;1;10;2;11;11;;2;14;;9;;1;1;;;;;;;64;609175.57;7800243.68
10046;503;1;1;AMERICO VESPUCIO, AVE;780;;;;;;1;6;1;3;;2;;1;2;1;;;3;11;;;;;;32;609122.9;7800208.53
10046;503;2;1;AMERICO VESPUCIO, AVE;780;;;;;;;;;;;;;;;;;;;;;;;2;;2;609122.9;7800208.53
10046;4102;1;2;AMERICO VESPUCIO, AVE;780;;;;;;;1;;1;2;;1;1;1;;;11;1;1;3;;;;;25;609122.9;7800208.53
10047;503;1;1;AMERICO VESPUCIO, AVE;1022;;;;;;2;1;1;1;2;;1;;;1;;;2;;;;;;;11;608976.35;7800040.41
10047;503;2;1;AMERICO VESPUCIO, AVE;1022;;;;;;;;;;;;;;;;;;;;;;2;;;2;608976.35;7800040.41
10047;4102;1;2;AMERICO VESPUCIO, AVE;1022;;;;;;;;;;;;1;;;;;1;1;;;;;;;4;608976.35;7800040.41
10048;504;1;1;AMERICO VESPUCIO, AVE;1029;;;;;;4;7;3;1;;4;6;3;5;;2;7;1;;1;;;;;43;608990.9;7800021.04
10048;4102;1;1;AMERICO VESPUCIO, AVE;1029;1;;;;2;5;14;29;11;2;2;7;;10;4;;1;4;;5;3;1;;;103;608990.9;7800021.04
10049;640;1;1;MARIA LUCIA PETIT, RUA;313;;;;;;6;1;7;5;1;2;;1;2;;1;2;;;;;;;;29;606194.31;7808648.09
10050;504;1;1;AMERICO VESPUCIO, AVE;1271;;;;;3;8;23;6;7;3;15;3;5;5;8;2;17;14;4;2;;;;;125;608808.33;7799724.18
10050;504;2;1;AMERICO VESPUCIO, AVE;1271;;;;;;;;;;;;;;;;;;;;;;13;;;13;608808.33;7799724.18
10051;503;1;1;AMERICO VESPUCIO, AVE;1278;;;;;;1;6;1;;;2;1;4;2;2;;1;16;3;;1;;;;41;608787.8;7799737.17
10051;503;2;1;AMERICO VESPUCIO, AVE;1278;;;;;;;;;;;;;;;;;;;;;1;;4;;5;608787.8;7799737.17
10052;503;1;1;AMERICO VESPUCIO, AVE;2000;;;;;;1;1;;;;;2;;;;1;2;2;2;;;;;;12;608666.03;7799284.62
10052;9404;1;2;AMERICO VESPUCIO, AVE;2000;;;;;;1;1;5;1;;;;1;;2;;;;3;;;3;;;18;608666.03;7799284.62
10053;503;1;1;AMERICO VESPUCIO, AVE;2884;;;;;;;;;3;;2;1;2;2;;1;4;2;;;1;;;;18;608441.64;7799153.08
