SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10001;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;1;;;;;3;1;1;;1;;1;;;;;;;;8;608912.57;7807026.94
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;;2;;;;;;1;;;3;;;1;;;;;2;;8;608946.24;7807002.38
10003;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;;;;;;1;;;;;;;;;;;;;;;1;609061.86;7806844.34
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;;;;;;;1;;;;;;;;;;;1;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;;;;;;;;;;;1;;;;;;;;;1;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;;;;1;;3;2;;1;1;3;;;;;;;;;11;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;;;2;;1;;1;2;1;1;3;3;6;2;;;;;;22;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;2;;;4;;;;;3;;1;2;1;;;;;;;13;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;4;;1;;;;;3;1;;1;3;;;;1;;;;15;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;1;;1;;;;1;1;;2;2;1;;;1;;;;;11;610099.28;7806093.81
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;2;;2;2;;2;2;2;2;1;3;;;;1;;;;;19;610189.8;7806209.73
10012;719;1;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;4;13;7;6;1;4;3;1;7;2;5;1;2;3;2;1;;;;64;610189.8;7806209.73
10016;609;3;1;GONCALVES, RUA;57;;;;;;;;;;;1;;;;;1;;;;;;;;;2;608430.09;7808621.61
10016;644;1;1;GONCALVES, RUA;57;;;;;1;5;8;5;1;;3;;1;2;;;2;2;;;;;;;30;608430.09;7808621.61
10017;609;2;1;GONCALVES, RUA;68;;;;;;;;;1;;;;;;;;;;;;;;;;1;608397.08;7808619
10017;609;3;1;GONCALVES, RUA;68;;;;;;;;;;;;;1;;;;;;;;;;;;1;608397.08;7808619
10017;644;2;1;GONCALVES, RUA;68;;;;;;;;;;;;;;;;;;1;;;;;;;1;608397.08;7808619
10018;609;2;1;GONCALVES, RUA;255;;;;;;1;;3;;;;;;;;;;;;;;;;;4;608204.7;7808520.43
10018;609;3;1;GONCALVES, RUA;255;;;;;;;;;;;2;;;;;;;;;;;;;;2;608204.7;7808520.43
10018;644;1;1;GONCALVES, RUA;255;;;;;1;1;3;2;;;3;1;1;2;1;2;;1;;;;;;;18;608204.7;7808520.43
10019;644;1;1;GONCALVES, RUA;260;;;;;;;;;;;1;;;;;;;;;;;;;;1;608177.29;7808518.42
10022;630;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;1;;;;;;;;;;;;;;;;;;;1;609520.75;7810438.61
10022;637;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;2;2;;;;;;;2;1;1;;;;;2;;;;11;609520.75;7810438.61
10023;631;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;;4;;;;;;;;;;;;;;;;;;;4;609523.81;7810450.13
10023;631;2;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;2;;;;;;;;;;;;;;;;;;;;2;609523.81;7810450.13
10023;637;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;;;;;;;;;;;;1;;;;;;2;;;3;609523.81;7810450.13
10024;638;1;1;LEONTINO FRANCISCO ALVES, AVE;275;;;;;;9;14;2;;;4;;;;;;;;;;;;;;28;609347.98;7810379.95
10026;631;1;1;LEONTINO FRANCISCO ALVES, AVE;472;;;;;5;9;;;;;;;;;;;;;;;;;;;14;609112.61;7810310.69
10028;631;1;1;LEONTINO FRANCISCO ALVES, AVE;540;;;;;2;5;;;;;;;;;;;;;;;;;;;7;609347.49;7810390.29
10028;631;2;1;LEONTINO FRANCISCO ALVES, AVE;540;;;;;3;;;;;;;;;;;;;;;;;;;;3;609347.49;7810390.29
10029;631;1;1;LEONTINO FRANCISCO ALVES, AVE;642;;;;;2;7;;;;;;;;;;;;;;;;;;;9;608937.4;7810251.01
10029;631;2;1;LEONTINO FRANCISCO ALVES, AVE;642;;;;;4;;;;;;;;;;;;;;;;;;;;4;608937.4;7810251.01
10030;3302B;2;1;JOAO MOREIRA DA ROCHA, RUA;21;;;;;;;;;1;4;;;;3;;;;;;;;;;;8;606536.48;7803065.94
10031;9503;1;2;CYRO VAZ DE MELO, RUA;240;;;;;;;;;;;;;;1;;;;;;;;;;;1;610269.49;7803710.12
10032;9503;1;2;CYRO VAZ DE MELO, RUA;536;;;;;;;;1;;;1;;1;;;;;;;;;;;;3;610506.22;7803616.24
10034;619;3;1;ALVARES DE AZEVEDO, RUA;66;;;;;;;2;;;;;;;;;;;;;;;;;;2;607823.72;7807736.22
10036;9501;1;2;IGINO BONFIOLI, RUA;47;;;;;;;1;2;1;;;;;;;;;;;;;;;;4;610001.78;7804146.41
10036;9501;7;2;IGINO BONFIOLI, RUA;47;;;;;;1;;;;;;;;;;;;3;;;;;;;4;610001.78;7804146.41
10039;9501;1;1;IGINO BONFIOLI, RUA;322;;;;;;;1;;;;1;;;;;1;;1;;;;;;;4;609787.18;7804312.65
