SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10001;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;4;;;;;1;2;;;;1;1;1;;;;;;;10;608912.57;7807026.94
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;;1;;1;;;2;;;;;1;1;;;;;;;;6;608946.24;7807002.38
10003;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;;1;;;;;2;;1;1;;;;;;1;;;;;6;609061.86;7806844.34
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;;;;;;1;;;;;;;;;;;;1;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;;;;;;1;;;;;;1;2;;;;;;;4;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;;;;;2;1;;;;1;3;;;;1;;;;;8;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;;;2;;1;7;1;;;3;;4;4;1;5;;;;;28;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;1;1;1;;3;3;5;3;5;;;3;;2;3;;;;;28;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;3;8;1;;1;;;1;;;4;3;1;;;;;;;23;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;1;1;;;1;;1;;2;;2;;2;;;;;;;10;610099.28;7806093.81
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;4;;6;;2;;1;;1;;;1;;;;;3;;;18;610189.8;7806209.73
10012;719;1;1;GENERAL CARLOS GUEDES, AVE;519;;;;;2;7;12;4;7;7;3;6;1;5;3;3;1;5;1;1;3;;;;72;610189.8;7806209.73
10016;644;1;1;GONCALVES, RUA;57;;;;;1;2;4;;1;1;2;1;3;;1;;;1;;;1;;;;19;608430.09;7808621.61
10017;609;2;1;GONCALVES, RUA;68;;;;;;;1;;;1;;;;;;;;;;;;;;;2;608397.08;7808619
10017;609;3;1;GONCALVES, RUA;68;;;;;;;;;;;;;;4;;;;;;;;;;;4;608397.08;7808619
10017;644;1;1;GONCALVES, RUA;68;;;;;;;;;;;;1;;;;;;;;;;;;;1;608397.08;7808619
10018;609;2;1;GONCALVES, RUA;255;;;;;;1;;;;;;;;;;;;;;;;;;;1;608204.7;7808520.43
10018;609;3;1;GONCALVES, RUA;255;;;;;;;;;;;;;;;;;3;;;;;;;;3;608204.7;7808520.43
10018;644;1;1;GONCALVES, RUA;255;;;;;2;7;9;10;;2;2;2;;;1;;;;;;;;;;35;608204.7;7808520.43
10019;609;2;1;GONCALVES, RUA;260;;;;;;;1;;;;;;;;;;;;;;;;;;1;608177.29;7808518.42
10019;644;1;1;GONCALVES, RUA;260;;;;;;;;2;;;;;;;;;;;;;;;;;2;608177.29;7808518.42
10022;630;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;3;;;;;;;;;;;;;;;;;;;3;609520.75;7810438.61
10022;637;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;;;;;;;3;;1;1;4;;;;;3;;;;12;609520.75;7810438.61
10022;637;4;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;6;2;4;;;;;;;;;;;;;;;;;12;609520.75;7810438.61
10023;631;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;3;2;;;;;;;;;;;;;;;;;;;5;609523.81;7810450.13
10023;631;2;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;1;;;;;;;;;;;;;;;;;;;;1;609523.81;7810450.13
10023;637;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;;;;;;1;;;;1;;;;1;;;1;5;;;9;609523.81;7810450.13
