SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total geral;X;Y
90371;8207;1;1;CURITIBA, RUA;1716;;;;; 1 ;; 1 ; 5 ; 1 ; 2 ; 4 ;; 4 ; 3 ;;;; 3 ; 1 ; 2 ;;; 1 ;; 28 ;610536.69;7796162.65
90371;8207;4;1;CURITIBA, RUA;1716;;;;;;;; 3 ;;;;;;;;;;;;;;;;; 3 ;610536.69;7796162.65
90371;9101;1;1;CURITIBA, RUA;1716;;;;;; 5 ; 15 ; 11 ; 7 ; 1 ;; 3 ; 3 ; 4 ;; 4 ; 2 ; 1 ; 1 ; 3 ;; 1 ;;; 60 ;610536.69;7796162.65
90371;9206;1;1;CURITIBA, RUA;1716;;;;;;; 3 ; 2 ; 1 ;;; 1 ;;; 2 ; 1 ;; 6 ; 1 ; 5 ; 1 ;;;; 24 ;610536.69;7796162.65
90371;9208;1;1;CURITIBA, RUA;1716;;;;;; 1 ; 1 ;; 2 ;;;;;;;;;;;;;;;; 4 ;610536.69;7796162.65
90371;9208;4;1;CURITIBA, RUA;1716; 1 ;;;;;;;;;;;;;;;;;;;;;;;; 1 ;610536.69;7796162.65
90372;8101;1;1;CURITIBA, RUA;2090;;;;;;; 2 ; 3 ;; 2 ; 2 ;; 1 ; 3 ; 2 ; 3 ; 1 ; 1 ;; 1 ; 2 ; 2 ;;; 26 ;610439.71;7795796.23
90372;8103;1;1;CURITIBA, RUA;2090;;;;;;; 1 ; 1 ; 1 ;;;;;; 1 ;;; 1 ;;;;;;; 7 ;610439.71;7795796.23
90372;8103;2;1;CURITIBA, RUA;2090;;;;;;; 3 ; 3 ; 3 ; 2 ;;;;;;;;;;;;;;; 10 ;610439.71;7795796.23
90372;8103;3;1;CURITIBA, RUA;2090;;; 1 ;;;;;;;;;;;;;;;;;;;;;; 1 ;610439.71;7795796.23
90372;9101;1;1;CURITIBA, RUA;2090;;;;;;; 3 ; 4 ; 3 ; 1 ;; 2 ;;;;; 1 ; 1 ;;;; 1 ;;; 16 ;610439.71;7795796.23
90373;102;1;1;DESEMBARGADOR MARIO MATTOS, RUA;57;;;;;;;;;;; 3 ;;;;; 2 ;; 11 ;;;;;;; 16 ;613344.9;7794854.24
90373;102;2;1;DESEMBARGADOR MARIO MATTOS, RUA;57;;;;;;;;;;;;;;;;;; 1 ;;;;;;; 1 ;613344.9;7794854.24
90373;107;1;1;DESEMBARGADOR MARIO MATTOS, RUA;57;;;;;;; 1 ;;;;;;;;;; 11 ; 2 ;;;;;;; 14 ;613344.9;7794854.24
90373;2151;1;2;DESEMBARGADOR MARIO MATTOS, RUA;57;;;;;;; 8 ; 6 ; 3 ; 5 ; 11 ; 2 ;; 3 ; 5 ; 2 ; 2 ; 6 ; 6 ; 1 ;;;; 5 ; 64 ;613344.9;7794854.24
90373;4102;1;2;DESEMBARGADOR MARIO MATTOS, RUA;57;;;;;; 1 ; 13 ; 14 ; 6 ; 4 ; 4 ; 4 ; 17 ; 12 ; 15 ; 31 ; 28 ; 25 ; 20 ; 19 ;; 8 ; 1 ; 3 ; 226 ;613344.9;7794854.24
90373;4107;1;2;DESEMBARGADOR MARIO MATTOS, RUA;57;;;;; 1 ;; 10 ;; 8 ; 1 ;; 1 ; 5 ; 4 ; 4 ; 8 ; 8 ; 14 ; 8 ;; 2 ;;;; 76 ;613344.9;7794854.24
90374;102;1;1;DESEMBARGADOR MARIO MATTOS, RUA;331;;;;;;; 4 ; 4 ;;;;; 4 ; 7 ; 5 ;; 3 ; 8 ;;;;;;; 34 ;613604.6;7794841.24
90374;102;2;1;DESEMBARGADOR MARIO MATTOS, RUA;331;;;;;;;;; 1 ;;;;;;;;; 1 ;;;;;;; 2 ;613604.6;7794841.24
90374;107;1;1;DESEMBARGADOR MARIO MATTOS, RUA;331;;;;;;;;;;;;;;;;; 3 ;; 1 ;;;;;; 4 ;613604.6;7794841.24
90374;2151;1;2;DESEMBARGADOR MARIO MATTOS, RUA;331;;;;;; 3 ; 5 ; 8 ; 13 ; 6 ;;; 7 ;;; 2 ; 3 ; 3 ; 4 ;;; 1 ;;; 55 ;613604.6;7794841.24
90374;4102;1;2;DESEMBARGADOR MARIO MATTOS, RUA;331;;;;; 3 ; 2 ; 5 ; 20 ; 10 ; 8 ; 9 ; 7 ; 10 ; 3 ; 8 ; 7 ; 3 ; 2 ; 1 ; 5 ;; 1 ;;; 103 ;613604.6;7794841.24
90374;4107;1;2;DESEMBARGADOR MARIO MATTOS, RUA;331;;;;;; 4 ;; 2 ; 17 ;; 3 ; 6 ; 6 ; 3 ; 3 ; 4 ; 4 ; 5 ; 2 ; 1 ;;;;; 60 ;613604.6;7794841.24
90375;4102;1;2;DESEMBARGADOR MARIO MATTOS, RUA;507;;;;; 3 ;; 10 ; 14 ; 2 ; 6 ; 15 ; 14 ; 9 ; 17 ; 1 ; 1 ; 3 ; 14 ; 2 ;;;; 1 ;; 112 ;613786.66;7794859.95
90376;102;1;1;DESEMBARGADOR MARIO MATTOS, RUA;540;;;;;; 3 ; 7 ; 11 ; 17 ; 11 ; 15 ; 12 ; 25 ; 3 ; 16 ; 25 ; 22 ; 26 ; 29 ; 13 ; 21 ; 15 ; 7 ;; 278 ;613815.56;7794853.57
90376;102;2;1;DESEMBARGADOR MARIO MATTOS, RUA;540;;;;; 1 ;;;;;;;;; 0 ;;; 2 ; 1 ;; 2 ;;;;; 6 ;613815.56;7794853.57
90376;4102;1;1;DESEMBARGADOR MARIO MATTOS, RUA;540;;;;;;; 1 ;;;;;;; 1 ;;;; 2 ;;;;;;; 5 ;613815.56;7794853.57
90377;4111;1;2;DOM VITAL, RUA;104;;;;;;; 2 ; 5 ;; 3 ; 2 ; 3 ; 6 ; 7 ; 7 ; 11 ; 17 ; 7 ; 4 ;; 1 ; 1 ;;; 74 ;612254.42;7794055.05
90377;4111;3;2;DOM VITAL, RUA;104;;;;;;; 3 ;;;;;; 3 ; 1 ;; 1 ;;; 4 ;;; 1 ;;; 14 ;612254.42;7794055.05
90377;4111;4;1;DOM VITAL, RUA;104;;;;; 1 ; 1 ;;; 4 ;;;;;;;;;;;;;;;; 6 ;612254.42;7794055.05
