SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10001;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;;10;;;;;2;21;;;;;;4;;;;;;37;608912.57;7807026.94
10001;717;5;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;;;;;;;;;;;;;;;;;;2;;2;608912.57;7807026.94
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;;;24;;;9;;;;;;;;;;;;;;;33;608946.24;7807002.38
10003;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;;;;;18;;;;;;;;;;;;;;;;18;609061.86;7806844.34
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;;;1;;9;;;;;;;;;;;;;10;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;;;8;;;;;;;;;;;3;;;;;;11;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;1;;;4;;4;;;;7;10;8;;;8;3;;;;;45;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;;;;;;11;;;;;21;8;;;;;;;;40;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;;2;;6;;;;;;;;;;4;;;;;;12;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;17;;;;15;18;;;;;;;;;;;;;;50;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;;;;3;3;11;3;;19;;6;;;14;;;;;;59;610099.28;7806093.81
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;;13;;;;;26;;;;;12;;;;;;;51;610189.8;7806209.73
10012;719;1;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;;;;;;;;;;20;;;;;;;;;20;610189.8;7806209.73
10012;719;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;8;;;;;;;;;;;;;;;;;;;;;8;610189.8;7806209.73
10012;719;4;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;34;;;;;;;;;;;;;;;;;;34;610189.8;7806209.73
10014;717;2;1;GENERAL CARLOS GUEDES, AVE;760;;;;;;;;;;;;;;;2;1;;;;;;;;;3;610318.99;7806462.93
10014;717;5;1;GENERAL CARLOS GUEDES, AVE;760;;;;;;;;;;;;;;;;;;;;;;2;;;2;610318.99;7806462.93
10016;609;1;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;;;;;;;;5;;;5;608430.09;7808621.61
10016;609;3;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;3;;;;;;;;;;3;608430.09;7808621.61
10016;644;1;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;12;;;;;;;;;;12;608430.09;7808621.61
10017;609;2;1;GONCALVES, RUA;68;;;;;;;;;;;;;;;4;;;;;;;;;;4;608397.08;7808619
10017;609;3;1;GONCALVES, RUA;68;;;;;;;;;;;;;;;;;21;;;;;;;;21;608397.08;7808619
10017;644;1;1;GONCALVES, RUA;68;;;;;;;;;;;;;3;;;;8;;10;;;;;;21;608397.08;7808619
10018;609;2;1;GONCALVES, RUA;255;;;;;;8;;;;;;6;;;;;;;;;;;;;14;608204.7;7808520.43
10018;609;3;1;GONCALVES, RUA;255;;;;;;;;;;;11;4;;;;;;;;;;;;;15;608204.7;7808520.43
10018;644;1;1;GONCALVES, RUA;255;;;;;;;48;;23;;;;22;;;;5;;;;;;;;98;608204.7;7808520.43
10019;609;2;1;GONCALVES, RUA;260;;;;;;;;18;;;;;;;;;;;;;;;;;18;608177.29;7808518.42
10019;644;1;1;GONCALVES, RUA;260;;;;;;;;;;;;;;;4;;;;;;;;;;4;608177.29;7808518.42
10020;631;1;1;LEONTINO FRANCISCO ALVES, AVE;12;;;;;;18;;;;;;;;;;;;;;;;;;;18;609834.96;7810555.41
10020;641;1;1;LEONTINO FRANCISCO ALVES, AVE;12;;;;;1;;;;;;;;;;;;;6;3;2;;;;;12;609834.96;7810555.41
10022;630;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;1;;;;;;;;;;;;;;;;;;;;;1;609520.75;7810438.61
10022;637;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;;;;;20;10;8;;;14;;;;;6;;;;;58;609520.75;7810438.61
