SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total geral;X;Y
32287;34;2;1;A, RUA;9060;;;;;;;;2;;2;;;;;;;;2;;;;;;;6;603887.37;7795308.02
32287;4031;1;1;A, RUA;9060;;;;;;;;;;;;;;1;;;;;;;1;;;;3;603887.37;7795308.02
32287;6350;1;2;A, RUA;9060;;;;;1;6;12;5;5;1;;2;2;3;;14;12;15;2;13;;2;;;93;603887.37;7795308.02
90003;105;1;1;AARAO REIS, RUA;510;;;;;;12;236;452;352;81;33;10;26;17;11;11;21;34;36;4;1;0;4;;1343;611526.64;7797093.16
90003;1502;1;1;AARAO REIS, RUA;510;;;;;;;;;;;;;;;;;;;71;;;;;;71;611526.64;7797093.16
90003;2151;1;1;AARAO REIS, RUA;510;;;;;;;;;;;;;;;;;;;52;;;;;;52;611526.64;7797093.16
20003;9202;3;1;ABADIA, PCA;23;;;;;1;10;45;38;8;12;10;10;9;8;13;18;6;8;2;3;;;;;200;614969.07;7798493.41
20003;9202;11;1;ABADIA, PCA;23;;;;;;;;;8;;;;;;;;;;1;;;;;;9;614969.07;7798493.41
40001;9415;1;1;ABAETE, RUA;267;;;;;;1;11;5;3;;;1;;;2;2;;1;;2;;;;;27;609873.13;7797850.82
20004;4501;1;2;ABAIBA, RUA;241;;;;;1;3;4;20;1;7;3;12;;7;3;10;4;17;6;;1;8;10;;116;612385.33;7802705.9
20004;8205;1;1;ABAIBA, RUA;241;;;;;;1;;5;3;;1;1;1;;2;2;4;;2;;;;;;22;612385.33;7802705.9
20004;8205;2;1;ABAIBA, RUA;241;;;;;;3;4;1;2;;;2;2;;;1;;4;4;;;;;;23;612385.33;7802705.9
20004;8207;1;1;ABAIBA, RUA;241;;;;;1;10;6;14;4;14;7;3;13;1;3;3;3;;5;;;;;;88;612385.33;7802705.9
20004;8207;3;1;ABAIBA, RUA;241;;;;;;1;2;;;;;;;;;;;;;;;;;;3;612385.33;7802705.9
20004;8207;4;1;ABAIBA, RUA;241;;;;;;;1;13;2;;;;;;;;;;;;;;;;16;612385.33;7802705.9
20004;8501;1;1;ABAIBA, RUA;241;;;;;;1;6;6;1;3;2;;;4;;2;4;7;6;4;;;;2;46;612385.33;7802705.9
11861;615;1;1;ABIGAIL TOLEDO DE GOUVEIA, RUA;296;;;;;;;;;;;;;;;;1;;2;;;;;;;3;604707.22;7806596.51
11862;615;1;1;ABIGAIL TOLEDO DE GOUVEIA, RUA;305;;;;;;;3;3;2;;;1;;;2;8;5;6;;;;;;;30;604678.31;7806758.38
11862;615;2;1;ABIGAIL TOLEDO DE GOUVEIA, RUA;305;;;;;;;1;;;;;;;;;;;;;;;;;;1;604678.31;7806758.38
21890;5502C;1;1;ABILIO ALVES DOS SANTOS, RUA;25;;;;;;1;;;;;;;;2;;;;1;;1;;;;;5;615862.32;7803704.06
21890;5502C;7;1;ABILIO ALVES DOS SANTOS, RUA;25;;;;;;1;;;;;;;;;;;;;;;;;;;1;615862.32;7803704.06
21891;813;1;1;ABILIO ALVES DOS SANTOS, RUA;216;;;;;;;;;;;54;;;;;;;;;;;;;;54;615783.89;7803903.96
21891;822;1;1;ABILIO ALVES DOS SANTOS, RUA;216;;;;;;;4;;4;;5;;;;;;;;;;;;;;14;615783.89;7803903.96
21891;822;2;1;ABILIO ALVES DOS SANTOS, RUA;216;;;;;;;;;;;;;;;;1;2;;;;;;;;2;615783.89;7803903.96
21891;822;3;1;ABILIO ALVES DOS SANTOS, RUA;216;;;;;;2;;;;;;;;;;;;;;;;;;;2;615783.89;7803903.96
21892;5502C;1;1;ABILIO ALVES DOS SANTOS, RUA;237;;;;;1;7;13;4;4;2;2;10;2;4;;;;3;;;;;;;53;615818.82;7803835.28
21892;5502C;7;1;ABILIO ALVES DOS SANTOS, RUA;237;;;;;;2;;;;;;;;;;;;;;;;;;;2;615818.82;7803835.28
21774;822;1;1;ABILIO FERNANDES DE OLIVEIRA, RUA;84;;;;;;;;3;;;;1;;;;;;;;;;;;;4;616883.35;7804292.35
21774;822;2;1;ABILIO FERNANDES DE OLIVEIRA, RUA;84;;;;;;;;;;;;;;;;;2;1;;;;;1;;4;616883.35;7804292.35
21774;822;3;1;ABILIO FERNANDES DE OLIVEIRA, RUA;84;;;;;;2;;;;;;;;;;;;;;;;;;;2;616883.35;7804292.35
40003;4410;1;1;ABILIO MACHADO, AVE;440;;;;;;2;1;;;;;;2;;;2;2;;;;;2;;;11;605096.8;7797971.12
40003;8401;1;1;ABILIO MACHADO, AVE;440;;;;;;;;;;;;;;;;;;;1;;;;;;1;605096.8;7797971.12
40003;8401;4;2;ABILIO MACHADO, AVE;440;;;1;;;;;;;;;;;;;;;;;;;;;;1;605096.8;7797971.12
40003;9411;1;2;ABILIO MACHADO, AVE;440;;;;;;;;;2;;;;;;1;;7;;2;;;1;;;13;605096.8;7797971.12
40003;1404A;5;1;ABILIO MACHADO, AVE;440;;;;;2;3;4;;;;;2;1;5;;1;;;;;;;;;18;605096.8;7797971.12
40003;4403D;1;1;ABILIO MACHADO, AVE;440;;;;;;;3;1;2;2;;;;;;5;1;3;1;;;6;;;25;605096.8;7797971.12
40005;4410;1;1;ABILIO MACHADO, AVE;745;;;;;;1;;;;2;;;;;2;;;;;;;;;;5;604835.38;7798201.97
40005;1404A;5;2;ABILIO MACHADO, AVE;745;;;;;;1;;;;;3;;1;;4;;2;;;;;;;;11;604835.38;7798201.97
40005;4403D;1;1;ABILIO MACHADO, AVE;745;;;;;;;3;1;3;;;6;1;;;;;2;1;;;;;;18;604835.38;7798201.97
40006;4410;1;1;ABILIO MACHADO, AVE;782;;;;;;1;1;;;;;;;;;2;1;;1;;;;;;6;604845.99;7798267.36
40006;1404A;5;1;ABILIO MACHADO, AVE;782;;;;;;1;1;2;6;;4;3;;5;;1;1;;;;;;;;25;604845.99;7798267.36
40006;4403D;1;1;ABILIO MACHADO, AVE;782;;;;;;;;;;;;;;9;;3;1;;;2;1;;;;16;604845.99;7798267.36
40008;1404A;5;2;ABILIO MACHADO, AVE;987;;;;;;8;5;10;6;4;;4;6;5;6;;10;3;2;;2;;;;70;604738.13;7798498.49
40008;4403D;1;1;ABILIO MACHADO, AVE;987;;;;;;2;;1;2;2;4;;5;2;;3;1;7;1;;;;;;30;604738.13;7798498.49
40009;4410;1;1;ABILIO MACHADO, AVE;1205;;;;;;5;7;4;;;2;3;3;;;;4;2;5;7;1;;;;42;604609.32;7798696.34
40009;1404A;5;2;ABILIO MACHADO, AVE;1205;;;;;;;5;10;3;;;4;1;;;;3;;;;;;;;26;604609.32;7798696.34
40009;4403D;1;1;ABILIO MACHADO, AVE;1205;;;;;;;8;1;3;2;1;3;1;;2;;4;13;;;;;;;39;604609.32;7798696.34
40010;4410;1;1;ABILIO MACHADO, AVE;1274;;;;;;;1;;;;2;;;;;2;1;;1;;;1;;;8;604623.54;7798701.59
40010;1404A;5;1;ABILIO MACHADO, AVE;1274;;;;;;;;;;;;2;;;2;;3;2;;;;;;;9;604623.54;7798701.59
