SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10001;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;3;3;;;;1;2;1;2;1;2;1;;;;;;;;16;608912.57;7807026.94
10001;717;5;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;;;;;;;;;;;;;;;;;;1;;1;608912.57;7807026.94
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;;2;2;1;1;;;1;1;;;;;2;;;;;;;10;608946.24;7807002.38
10003;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;;;2;1;1;;;;;1;1;3;1;1;;2;;;;;13;609061.86;7806844.34
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;1;;;1;;;;;;;;;;;;;;2;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;1;2;2;1;;;;;;1;;1;;3;3;;;;;14;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;1;4;1;;;2;1;2;1;;2;2;1;1;;;;;;18;609197.28;7806639.18
10006;717;5;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;;;;;;;;;;;;;;;;;;1;;1;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;1;3;9;4;1;2;3;;5;2;4;2;7;8;2;2;;;;;55;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;2;3;2;;;3;1;1;3;5;2;5;1;;;;;;;29;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;1;3;9;10;2;1;6;5;1;1;9;1;5;4;1;;;;;;61;609922.56;7805952.57
10009;719;4;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;10;6;;;;;;;;;;;;;;;;;;16;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;1;3;;2;;3;2;;;7;5;2;6;3;1;;;;;35;610099.28;7806093.81
10010;719;5;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;;;;;;;;;;;;;;;;1;;2;;3;610099.28;7806093.81
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;1;4;8;5;4;2;2;1;6;3;1;5;2;1;2;;;;;;47;610189.8;7806209.73
10012;719;1;1;GENERAL CARLOS GUEDES, AVE;519;;;;;8;15;35;16;19;;12;9;8;13;9;13;10;5;6;1;;;;;179;610189.8;7806209.73
10012;719;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;3;;;;;;;;;;;;;;;;;;;;;3;610189.8;7806209.73
10012;719;4;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;11;22;;;;;;;;;;;;;3;;;;;36;610189.8;7806209.73
10012;719;5;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;;;;;;;;;;;;;;;;5;;;5;610189.8;7806209.73
10016;609;1;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;;;;;;;;;;1;1;608430.09;7808621.61
10016;609;3;1;GONCALVES, RUA;57;;;;;;;;;;;;2;;;;1;;;;;;;;;3;608430.09;7808621.61
10016;644;1;1;GONCALVES, RUA;57;;;;;4;8;7;15;4;28;1;3;2;1;3;2;3;4;;2;;;;;87;608430.09;7808621.61
10017;609;1;1;GONCALVES, RUA;68;;;;;;;;;;;;;;;;;;1;;;;;;;1;608397.08;7808619
10017;609;2;1;GONCALVES, RUA;68;;;;;;;1;3;;;;;;;;;;;;;;;;;4;608397.08;7808619
10017;609;3;1;GONCALVES, RUA;68;;;;;;;;;;;;4;3;5;;1;1;;;;;;;;14;608397.08;7808619
10017;644;1;1;GONCALVES, RUA;68;;;;;;;1;2;;;;1;;;1;;;;;;1;;;;6;608397.08;7808619
10018;609;2;1;GONCALVES, RUA;255;;;;;;5;;;;;;;;;;;;;;;;;;;5;608204.7;7808520.43
10018;609;3;1;GONCALVES, RUA;255;;;;;;;;;;;;2;;;;;;;;;;;;;2;608204.7;7808520.43
10018;644;1;1;GONCALVES, RUA;255;;;;;3;12;15;13;5;14;2;1;3;4;1;4;1;1;1;;;;;;80;608204.7;7808520.43
10019;609;2;1;GONCALVES, RUA;260;;;;;;;;3;;;;;;;;;;;;;;;;;3;608177.29;7808518.42
10019;644;1;1;GONCALVES, RUA;260;;;;;;1;2;;;;1;;2;;;;;;1;;;;;;7;608177.29;7808518.42
10022;630;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;1;;1;1;5;;;;;;;;;;;;;;;;;;;8;609520.75;7810438.61
10022;637;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;;;;1;2;5;2;2;1;2;;7;;;1;;6;;;29;609520.75;7810438.61
10022;637;4;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;5;17;2;;;;;;;;;;;;;;;;;25;609520.75;7810438.61
10023;631;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;1;;1;4;2;;;;;;;;;;;;;;;;;;;8;609523.81;7810450.13
10023;637;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;;;;;;;;;1;;;1;4;3;;2;2;;;;13;609523.81;7810450.13
10024;630;1;1;LEONTINO FRANCISCO ALVES, AVE;275;1;;;1;;;;;;;;;;;;;;;;;;;;;2;609347.98;7810379.95
10024;638;1;1;LEONTINO FRANCISCO ALVES, AVE;275;;;;;2;13;123;22;4;1;7;2;;1;1;;3;4;2;2;;1;;;187;609347.98;7810379.95
10026;631;1;1;LEONTINO FRANCISCO ALVES, AVE;472;;;;;6;4;;;;;;;;;;;;;;;;;;;10;609112.61;7810310.69
10026;631;2;1;LEONTINO FRANCISCO ALVES, AVE;472;;;;;4;;;;;;;;;;;;;;;;;;;;4;609112.61;7810310.69
10028;631;1;1;LEONTINO FRANCISCO ALVES, AVE;540;;;;;2;4;;;;;;;;;;;;;;;;;;;6;609347.49;7810390.29
10028;631;2;1;LEONTINO FRANCISCO ALVES, AVE;540;;;;;5;;;;;;;;;;;;;;;;;;;;5;609347.49;7810390.29
10029;631;1;1;LEONTINO FRANCISCO ALVES, AVE;642;;;;1;1;2;;;;;;;;;;;;;;;;;;;4;608937.4;7810251.01
10030;3302B;2;1;JOAO MOREIRA DA ROCHA, RUA;21;;;;;1;;4;;5;;2;1;;;;;5;;;;;;;;18;606536.48;7803065.94
10031;9503;1;2;CYRO VAZ DE MELO, RUA;240;;;;;;;9;5;1;2;2;;1;3;1;1;1;8;;1;;;1;;36;610269.49;7803710.12
10032;9503;1;2;CYRO VAZ DE MELO, RUA;536;;;;;;2;22;4;2;3;3;12;3;2;5;6;1;8;6;;3;;1;;84;610506.22;7803616.24
10034;619;3;1;ALVARES DE AZEVEDO, RUA;66;;;;;;5;2;;;1;;;;;;;;;;;;;;;8;607823.72;7807736.22
10036;9501;1;2;IGINO BONFIOLI, RUA;47;;;;;;4;3;1;4;;1;1;;1;1;;;1;;;;3;2;;22;610001.78;7804146.41
10036;9501;7;2;IGINO BONFIOLI, RUA;47;;;;;;;;3;1;;;;3;;;2;1;1;;1;;;;;12;610001.78;7804146.41
10039;9501;1;1;IGINO BONFIOLI, RUA;322;;;1;;1;7;4;;;2;2;;;3;3;3;3;5;24;5;;;;19;82;609787.18;7804312.65
10039;9501;7;1;IGINO BONFIOLI, RUA;322;;;;;;;2;;;;;;;;;;;;;;;;;;2;609787.18;7804312.65
10041;4102;1;1;AMERICO VESPUCIO, AVE;365;;;;;;3;1;7;5;3;1;2;;5;;;;3;2;;;;;;32;609422.83;7800548.61
10041;4205;1;1;AMERICO VESPUCIO, AVE;365;;;;;;2;3;18;3;1;3;11;1;3;;;1;7;2;1;;;;;56;609422.83;7800548.61
10041;504;1;1;AMERICO VESPUCIO, AVE;365;;;;;;5;6;7;2;1;;3;3;1;2;3;18;12;1;2;;;;;67;609422.83;7800548.61
10042;4102;1;1;AMERICO VESPUCIO, AVE;435;;;;;;5;4;9;5;2;1;6;7;11;4;2;1;4;2;1;1;;;;65;609322.85;7800457.36
10042;4205;1;1;AMERICO VESPUCIO, AVE;435;;;;;1;1;7;30;9;2;2;11;7;;;2;;11;16;1;;;1;1;102;609322.85;7800457.36
10042;504;1;1;AMERICO VESPUCIO, AVE;435;;;;;;3;8;;3;1;1;4;;2;;1;3;2;1;1;;;;;31;609322.85;7800457.36
10042;504;2;1;AMERICO VESPUCIO, AVE;435;;;;;;;;;;;;;;;;;;;;;;1;;;1;609322.85;7800457.36
