EV; HR; LT; LG; NV; VL; NL; DG; SV; DT
105;20220708101447;-19,833232;-43,905874;20677;56;416;225;1;4235
105;20220708101444;-19,900357;-43,992722;40852;31;7119;164;2;18802
105;20220708101444;-19,802670;-44,003597;10747;23;495;281;0;4063
105;20220708101442;-19,912811;-44,000552;20897;0;2374;0;1;3493
105;20220708101158;-19,885898;-43,893209;20579;0;952;0;0;7587
105;20220708101446;-19,965870;-43,994248;10769;0;5620;0;1;18452
105;20220708101451;-19,949261;-44,011916;30922;7;207;245;1;24606
105;20220708101443;-19,958702;-44,011407;30718;27;3995;213;1;27622
105;20220708101448;-19,992700;-44,007160;31046;32;243;163;1;41651
105;20220708101451;-19,930573;-43,923077;11179;20;590;220;1;8866
105;20220708101447;-20,020037;-44,028933;30873;0;4018;0;0;6722
105;20220708101446;-19,825683;-43,986951;10474;13;5577;354;1;13026
105;20220708101412;-19,813636;-44,012226;10616;0;5574;0;1;18356
105;20220708101449;-19,897702;-43,904012;60012;27;664;257;0;4137
105;20220708101447;-19,907414;-43,891898;20931;3;614;171;1;374
105;20220708101416;-19,902984;-43,963989;11092;0;710;0;0;5065
105;20220708101446;-19,976435;-44,021836;30956;23;1115;167;0;540
105;20220708101438;-19,884935;-43,980415;40575;0;5700;286;0;3462
105;20220708101443;-19,918731;-43,942179;40551;19;5559;187;1;10302
105;20220708101447;-19,916553;-43,988360;40761;15;737;303;1;3734
105;20220708101448;-19,920317;-43,941574;30778;19;908;195;1;16436
105;20220708101448;-19,915888;-43,991684;40851;19;739;329;1;2915
105;20220708101448;-19,943930;-43,989314;30988;0;66;0;0;17290
105;20220708101448;-20,005903;-44,035651;30550;0;917;0;1;6729
105;20220708101449;-19,851709;-43,927265;20664;0;851;0;0;1825
105;20220708101442;-19,800544;-43,978839;10683;3;6809;37;0;8030
105;20220708101449;-19,918313;-43,996964;40876;11;821;51;2;10256
105;20220708101448;-19,956635;-43,972407;31073;27;245;41;1;8925
105;20220708101445;-19,958546;-43,968846;40351;16;655;129;1;18449
105;20220708101446;-19,906917;-44,003478;40868;30;357;317;1;26416
105;20220708101416;-19,801028;-43,978631;11036;0;5607;0;0;4586
105;20220708101449;-19,896571;-43,954753;10864;0;348;0;2;14911
105;20220708101428;-19,809483;-43,969795;10951;0;1918;0;1;11266
105;20220708101448;-19,885125;-43,980408;40665;0;595;0;0;10985
105;20220708101448;-19,914330;-43,957113;20802;0;2374;0;2;12042
105;20220708101415;-19,881704;-43,895660;20682;0;622;0;2;13318
105;20220708101446;-19,913463;-43,954155;20594;32;4661;320;1;20751
105;20220708101437;-19,928687;-43,956000;31045;3;5630;249;1;12156
105;20220708101446;-19,925977;-43,936305;20462;16;6740;26;1;20370
105;20220708101441;-19,961684;-43,989830;30617;0;5996;0;0;2
105;20220708101445;-19,930228;-43,983129;31047;33;4018;351;1;17051
105;20220708101449;-19,847057;-43,980266;10932;31;5572;58;1;6966
105;20220708101449;-19,955571;-43,989072;30949;45;206;63;1;7529
105;20220708101448;-19,868614;-44,014717;40783;0;355;0;0;10573
105;20220708101448;-19,902218;-43,933060;20919;18;579;155;1;3521
105;20220708101446;-19,910680;-43,896331;40612;13;1077;258;1;1405
105;20220708101447;-20,000410;-43,976194;30849;0;5713;0;0;6
105;20220708101419;-19,988262;-44,034662;30790;0;243;0;0;5268
105;20220708101446;-19,800894;-43,977946;10483;0;6811;0;0;7010
105;20220708101447;-19,874578;-43,993146;11050;0;290;0;1;26318
105;20220708101449;-19,959453;-43,989058;40807;11;6640;222;1;9730
105;20220708101449;-19,916178;-43,936909;10717;3;5564;106;1;17051
105;20220708101447;-19,822305;-43,948271;20613;1;4023;167;2;29202
105;20220708101442;-19,900911;-43,933491;30985;35;79;342;1;14252
105;20220708101448;-19,928223;-43,947083;10843;2;550;293;1;18896
105;20220708101446;-19,803487;-43,984861;10851;6;768;265;1;14709
105;20220708101439;-19,920571;-43,942488;20873;1;68;335;1;8608
105;20220708101417;-19,902249;-43,984234;11005;44;5286;233;1;34485
105;20220708101443;-19,853956;-43,885853;30507;26;7619;122;1;10955
105;20220708101453;-19,943289;-43,966142;30835;33;90;345;3;10357
105;20220708101446;-19,921026;-43,871110;20848;5;7179;161;1;2009
105;20220708101418;-19,890930;-43,937998;40832;0;3399;0;1;11399
105;20220708101447;-19,851871;-43,934574;10697;35;550;207;0;8456
105;20220708101444;-19,938195;-43,999708;30950;0;207;75;1;9306
105;20220708101415;-19,876413;-43,907140;11142;0;4736;0;0;10849
105;20220708101449;-19,916016;-43,940458;40704;17;3409;112;2;5836
105;20220708101450;-19,866134;-43,915026;20828;0;372;0;3;15692
105;20220708101447;-19,823616;-43,944548;20576;42;541;335;0;5045
105;20220708101443;-19,919904;-43,996857;30977;0;737;0;0;344
105;20220708101415;-19,963771;-43,963520;30582;0;5916;0;0;1845
105;20220708101448;-19,816904;-43,953228;10984;25;493;331;1;20238
105;20220708101419;-19,889896;-43,966423;40744;0;334;0;2;14800
105;20220708101450;-19,941565;-44,002816;30847;9;33;209;1;24282
105;20220708101416;-19,822634;-43,947268;20564;4;4661;25
105;20220708101445;-19,923049;-43,945966;40872;22;4055;236;1;8060
105;20220708101448;-19,943470;-43,912551;20648;15;2118;103;1;3461
105;20220708101449;-19,928340;-43,955360;30434;21;79;238;2;12253
105;20220708101452;-19,801072;-43,978520;10950;0;521;0;0;1744
105;20220708101454;-19,917616;-43,938688;30906;18;100;69;2;10765
105;20220708101448;-19,886332;-43,893271;20598;0;5284;0;0;9549
105;20220708101419;-19,869022;-44,014936;40880;0;357;0;1;32113
105;20220708101451;-19,868896;-43,972040;40573;16;7140;160;0;4256
105;20220708101448;-19,876329;-43,907093;20436;0;6740;0;0;7380
105;20220708101455;-19,973545;-43,948195;20866;0;565;0;3;0
105;20220708101448;-19,956534;-44,000039;30657;0;66;0;1;0
105;20220708101455;-19,959836;-44,033886;58;0;0
105;20220708101451;-19,874808;-43,953801;20496;0;7140;0;0;3784
105;20220708101456;-19,874055;-43,909900;20383;0;2657;0;0;4301
105;20220708101450;-19,914489;-43,943568;40777;0;8098;1;1;16919
105;20220708101317;-19,912392;-43,910832;20736;0;617;0;2;8512
105;20220708101450;-19,886174;-43,979885;40480;0;297;0;0;11289
105;20220708101421;-19,962702;-43,987704;30546;0;6559;0;0;17163
105;20220708101454;-19,873955;-43,909045;20935;0;679;0;0;3173
105;20220708101443;-19,994210;-44,054623;31049;28;4018;348;1;46700
105;20220708101417;-19,869231;-44,014465;40606;1;357;82;0;723
105;20220708101454;-19,914021;-43,953668;11071;19;348;358;3;8049
105;20220708101449;-19,939689;-43,953923;40436;6;648;15;2;1754
105;20220708101447;-19,929671;-43,958045;30797;1;66;93;1;7464
105;20220708101419;-19,862661;-43,920809;20528;0;5284;0;0;2236
105;20220708101446;-19,843908;-43,966585;20608;25;7140;332;1;26709
105;20220708101419;-19,830245;-44,014113;11051;0;5567;0;0;1644
105;20220708101452;-19,868384;-44,014924;40558;0;7140;0;0;9866
105;20220708101448;-19,921980;-43,940796;40522;10;402;16;2;8309
105;20220708101415;-19,937957;-43,911308;11200;0;734;0;1;12236
105;20220708101445;-19,884567;-43,945037;40692;21;4054;348;2;17129
105;20220708101450;-19,837450;-43,978348;10475;9;5580;313;1;8505
105;20220708101440;-19,913536;-43,940166;20487;0;5564;0;1;8689
105;20220708101445;-19,972128;-43,948397;40722;0;737;0;1;17563
105;20220708101421;-19,843487;-43,966877;30613;0;5620;0;0;0
105;20220708101455;-19,796351;-44,011775;20834;0;4514;0;0;8070
105;20220708101453;-19,809894;-43,969482;11139;0;6846;0;1;19851
105;20220708101448;-19,924046;-43,931697;11047;9;293;25;1;19223
105;20220708101448;-19,963628;-43,963941;30855;0;100;0;0;6462
105;20220708101457;-19,925278;-43,949783;30409;0;636;0;1;7780
105;20220708101450;-19,827256;-43,958647;10680;22;5777;57;1;24229
105;20220708101450;-19,873484;-43,952111;10926;11;693;303;1;14445
105;20220708101418;-19,822121;-43,948214;10752;0;3740;0;0;6999
105;20220708101417;-19,963950;-43,963365;30576;0;5916;0;0;2120
105;20220708101448;-19,909820;-43,926606;30911;28;660;333;0;3278
105;20220708101448;-19,928302;-44,007018;40801;44;962;198;1;33031
105;20220708101421;-19,918783;-43,888822;20537;0;574;0
105;20220708101448;-19,797604;-44,012137;10734;1;495;83;0;5600
105;20220708101449;-19,852557;-43,927782;20507;0;6018;68;0;7958
105;20220708101456;-19,874094;-43,903798;20786;35;407;195;1;2964
105;20220708101449;-19,976482;-43,974413;40702;20;4055;95;1;18924
105;20220708101449;-19,915155;-43,937265;20934;0;727;0;1;3530
105;20220708101450;-19,921380;-43,942907;20339;4;639;320;2;8448
105;20220708101450;-19,907646;-43,910429;10465;3;610;348;1;10419
105;20220708101451;-19,963921;-44,029390;30559;0;206;0;0;7901
105;20220708101416;-19,870731;-44,010394;40261;0;7121;0;0;458
105;20220708101450;-19,959628;-43,997659;30788;49;107;253;3;13791
105;20220708101452;-19,975191;-44,003004;40865;35;7419;38;1;4285
105;20220708101450;-19,930906;-43,964587;40768;0;684;0;1;12062
105;20220708101446;-19,797812;-44,012090;30685;0;768;22;0;6478
105;20220708101449;-19,897032;-43,934976;30525;6;595;163;1;9326
105;20220708101448;-19,808935;-43,955564;10949;29;3896;220;1;3264
105;20220708101455;-19,992700;-44,040134;30939;0;207;0;0;2326
105;20220708101449;-19,809323;-43,970049;40516;0;502;0;1;38350
105;20220708101447;-19,919528;-43,997108;40587;0;737;280;0;0
