NumeroLinha;Linha;Nome
6378;3302B-05;HOSPITAIS CARNAVAL
299;3302D-01;BRAUNAS
2294;3302D-02;CÉU ANIL RG ÁREA CENTRAL
2295;3302D-03;CT NA ÁREA CENTRAL
6419;3302D-04;ATENDIMENTO CARNAVAL
6374;3302D-05;HOSPITAIS CARNAVAL
901;33-03;ESTAÇÃO BARREIRO/ CENTRO- HOSPITAIS
902;33-04;ESTAÇÃO BARREIRO/ CENTRO- HOSPITAIS
997;33-05;EST.BARREIRO/CENTRO - DIRETA
1742;33-06;DIRETA - RETORNO NA RUA DA BAHIA
6266;33-07;ATENDIMENTO CARNAVAL
936;331-01; EST.BARR./CONJ.TEIXEIRA DIAS-UPA
974;331-02;NOTURNO
1686;331-03;VIA PUC BARREIRO
938;332-01; EST.BARR./MILIONARIOS-BONSUCESSO
4836;332-02;PARTIDAS- R. DR. CRIST. REZENDE
940;333-01;BOM SUCESSO / MILIONARIOS / ESTAÇÃO BARREIRO
942;334-01;BAIRRO MINEIRÃO / ESTAÇÃO BARREIRO
911;3350-01;EST. BARREIRO/ EST. DIAMANTE
1319;335-01;ESTAÇÃO BARREIRO/LINDÉIA
2186;336-01;HOSP.EDU.MENEZES/VILA BERNADETE
3914;336-02;VIA ESC. M. B. TRINDADE- MANHÃ
3915;336-03;VIA ESC. M. B. TRINDADE- TARDE
3997;337-01;EST. BARREIRO / ITAIPU
7559;338-01;PRINCIPAL
4015;340-01;EST. BARR./VILA MANGUEIRA
4016;340-02;ATENDIMENTO AO SETOR INDUSTRIAL JATOBÁ IV
6698;340-03;ATENDIMENTO AO C.S. MANGUEIRAS
970;34-01;EST. BARREIRO / VIA EXPRESSA 
971;34-02;EST. BARREIRO / VIA EXPRESSA 
3995;341-01;EST.BARR./EST.DIAM.-VIA SAÚDE
5256;341-02;PARTIDAS DA EST.DIAMANTE
3999;342-01;EST.BARR./SOLAR VIA EST.DIAMANTE  
4000;342-02;NOTURNO VIA BRASIL INDUSTRIAL
4001;342-03;PARTIDAS DA RUA LUIZ PONGELUPE
4002;342-04;ATENDIMENTO AO BAIRRO SOLAR
301;350-01;TIROL/BARREIRO
987;35-01;EST. BARREIRO/ CENTRO
755;3501A-01;PRINCIPAL
756;3501A-04;JARDIM ALVORADA/SAO MARCOS
1602;3501A-05;VIA CONDOMINIO FAZENDA DA SERRA
2360;3501A-06;RETORNO EXPRESSO
3419;3501A-07;JARDIM ALVORADA/SAO MARCOS
3420;3501A-08;JARDIM ALVORADA/SAO MARCOS- ATEND. COND.FAZ. SERRA
3421;3501A-09;JARDIM ALVORADA / SÃO MARCOS RETORNO EXPRESSO
3719;3501A-10;VIA EST. JOSE CANDIDO
3718;3501A-11;VIA FAZ. DA SERRA E EST. JOSE CANDIDO
4614;3501A-12;VIA FERNAO DIAS
6336;3501A-13;ATENDIMENTO CARNAVAL
6337;3501A-14;VIA EST. JOSÉ C. CARNAVAL
6338;3501A-15;F.SERRA E EST.J.CAND.- CARNAVAL
6339;3501A-16;VIA FERNÃO DIAS  CARNAVAL
6372;3501A-17;FAZENDA DA SERRA - CARNAVAL
303;3501B-01;OURO PRETO 3A GLEBA/BAIRRO IPE VIA JD. MONTANHES
3434;3501B-03;OURO PRETO 3A GLEBA/BAIRRO IPE VIA JD. MONTANHES
6340;3501B-04;ATENDIMENTO CARNAVAL
3735;35-02;PARADORA-VIA SINF. BROCHADO
305;3502-01;OURO PRETO/SAO GABRIEL
1040;3502-02;OURO PRETO/SAO GABRIEL
3362;3502-03;OURO PRETO/SAO GABRIEL
6364;3502-04;ATENDIMENTO CARNAVAL
307;3503A-01;SANTA TEREZINHA/SAO GABRIEL
308;3503A-02;NOTURNO
309;3503A-03;PARTIDAS DO OURO MINAS
310;3503A-05;SANTA TEREZINHA/SAO GABRIEL
1307;3503A-06;VIA PÇA DIVINA PASTORA
3318;3503A-07;SANTA TEREZINHA/SAO GABRIEL
3319;3503A-08;SANTA TEREZINHA/SAO GABRIEL ATEND NOT B OURO MINAS
3320;3503A-09;SANTA TEREZINHA/SAO GABRIEL ATEND BAIRRO OURO MINA
3321;3503A-10;SANTA TEREZINHA/SAO GABRIEL ATEND PCA DIV PASTORA
6341;3503A-11;ATENDIMENTO CARNAVAL
6342;3503A-12;NOTURNO CARNAVAL
6343;3503A-13;OURO MINAS CARNAVAL
6370;3503A-14;VIA PÇA. DIVINA PASTORA - CARNAVAL
951;4000-01;EST. BARREIRO STA MARGARIDA
1202;4001-01;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1216;4001-02;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1217;4001-03;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1218;4001-04;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1219;4001-05;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO
1239;4001-06;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO ACESSO LOJAS
3494;4001-07;LINHA DE BLOQUEIO BARREIRO DOMINGO
3495;4001-08;LINHA DE BLOQUEIO BARREIRO DOMINGO
3496;4001-09;LINHA BLOQUIO BARREIRO DOMINGO
3497;4001-10;LINHA BLOQUIEO BARREIRO DOMINGO
1215;4002-01;ESTAÇAO BARREIRO
1301;4002-02;ESTAÇÃO BARREIRO SAÍDA / ACESSO SHOPPING
4636;4003-01;ESTAÇÃO BARREIRO SAÍDA / ACESSO SHOPPING
4639;4004-01;LINHA DE BLOQUEIO ESTAÇÃO BARREIRO ACESSO LOJAS
312;401-01;METRO CID.INDUSTRIAL/S.MARIA
313;401-03;VIA VILA DOS ESPORTES
315;402-01;METRO CID.INDUST./ CAMARGOS
316;402-03;VIA R. SILEX - MANHÃ
317;402-04;VIA R. SILEX - TARDE
318;402-05;VIA SANTA MARIA
319;402-06;VIA RUA SILEX - SAB. E DOM.
324;4030-02;JARDIM FILADELFIA VIA NOVO GLORIA
321;403-01;ESTACAO GAMELEIRA / CALIFORNIA VIA PUC
322;403-02;ESTACAO GAMELEIRA / CALIFORNIA VIA PUC
962;4031-01;SANTA MARIA / HOSPITAIS
6246;4031-02;ATENDIMENTO CARNAVAL
326;4032-01;CAICARA /SAVASSI/ PCA. DA LIBERDADE
327;4032-02;CAICARA /SAVASSI/ PCA. DA LIBERDADE
1762;4032-03;CAICARA /SAVASSI/ RETORNO PCA. DA LIBERDADE
6278;4032-04;ATENDIMENTO CARNAVAL
329;4033-01;CAMARGOS/CENTRO
863;4033-02;CAMARGOS/CENTRO
1068;4033-03;VIA CONJ. ALDEIAS DA SERRA
6279;4033-04;ATENDIMENTO CARNAVAL
331;4034-01;NOVO DOM BOSCO / SAVASSI VIA PADRE EUSTAQUIO
332;4034-02;NOVO DOM BOSCO / SAVASSI VIA PADRE EUSTAQUIO
857;4034-03;NOVO DOM BOSCO / SAVASSI VIA PADRE EUSTAQUIO
859;4034-04;NOVO DOM BOSCO/SAVASSI VIA PADRE EUSTAQUIO
1073;4034-05;NOVO DOM BOSCO/SAVASSI VIA PADRE EUSTAQUIO
1075;4034-06;NOVO DOM BOSCO/SAVASSI VIA PADRE EUSTAQUIO
3034;4034-07;VIA CONJ. FILADELFIA- RETORNO EXPRESSO
3035;4034-08;NOVO DOM BOSCO/SAVASSI VIA P. E. RET. EXPR. NÃO AT
4398;4034-09;ATENDIMENTO CONJUNTO FILADELFIA
4399;4034-10;VIA NOVO DOM BOSCO E CONJ. FILADELFIA
6280;4034-11;N.D.BOSCO CONJ FILAD CARNAVAL
6460;4034-12;ATENDIMENTO CARNAVAL
8058;4034-13;VIA CENTRO SAÚDE CALIFÓRNIA
5295;4036-01;CALIFÓRNIA/CENTRO
5716;4037-01;NOSSA SENHORA DA GLÓRIA / CENTRO
6281;4037-02;ATENDIMENTO CARNAVAL
6878;4037-03;ATENDIMENTO DOMINGO/FERIADOS
2816;404-01;JARDIM ALVORADA /  AV.DOM PEDRO II
5297;405-01;CALIFÓRNIA/ESTAÇÃO GAMELEIRA
5706;406-01;EST.S.JOSÉ/PINDORAMA-N.S.GLÓRIA
734;4102-01;APARECIDA/SERRA
735;4102-02;APARECIDA/SERRA - DESVIO FEIRA AFONSO PENA
2434;4102-03;APARECIDA / CENTRO / APARECIDA
5896;4102-04;APARECIDA/CENTRO DESVIO FEIRA AV. AFONSO PENA
6211;4102-05;APARECIDA/CENTRO CARNAVAL
6418;4102-06;ATENDIMENTO CARNAVAL
334;4103-01;APARECIDA/MANGABEIRAS
335;4103-02;APARECIDA/MANGABEIRAS-DESVIO FEIRA AFONSO PENA
2074;4103-05;APARECIDA / MANGABEIRAS
4736;4103-06;VIA AMR
6208;4103-07;ATENDIMENTO CARNAVAL
7378;4103-08;VIA PRAÇA DA BANDEIRA
7700;4103-09;RETORNO PARQUE DAS MANGABEIRAS
7701;4103-10;RETORNO PQ MANGABEIRAS VIA PCA BANDEIRA
7498;4103-11;VIA PRAÇA DA BANDEIRA-CARNAVAL
7679;4103-12;RETORNO NO PARQUE DAS MANGABEIRAS
7680;4103-13;RETORNO PQ DAS MANGABEIRAS VIA PCA DA BANDEIRA
337;4106-01;SAO CRISTOVAO/SANTO ANTONIO
338;4106-02;SAO CRISTOVAO/STO ANTONIO-DESVIO FEIRA  AF.PENA
6206;4106-03;ATENDIMENTO CARNAVAL
340;4107-01;ALTO CAICARA/SERRA
341;4107-02;ALTO CAICARA/SERRA
3363;4107-04;ALTO CAIÇARA/SERRA
4696;4107-06;ATENDIMENTO AOS DOMINGOS E FERIADOS
6204;4107-07;ATENDIMENTO CARNAVAL
6371;4107-08;VIA CARLOS ETIENE-CARNAVAL
343;4107R-01;SERRA/CENTRO VIA HOSPITAL EVANGELICO
796;4107R-02;SERRA/CENTRO VIA HOSPITAL EVANGELICO
889;4107R-03;SERRA/ CENTRO VIA HOSPITAL EVANGELICO
966;4107R-04;SERRA/CENTRO VIA HOSPITAL EVANGELICO
963;4107R-05;SERRA/CENTRO VIA HOSPITAL EVANGELICO
964;4107R-06;SERRA/CENTRO VIA HOSPITAL EVANGELICO
965;4107R-07;SERRA/CENTRO VIA HOSPITAL EVANGELICO
345;4108-01;PEDRO II / MANGABEIRAS
346;4108-02;PEDRO II / MANGABEIRAS
3364;4108-03;PEDRO II / MANGABEIRAS
5979;4108-04;VIA RUA VILA RICA
6215;4108-05;ATENDIMENTO CARNAVAL
6373;4108-06;RUA VILA RICA CARNAVAL
737;4110-01;DOM CABRAL/FAC. MILTON CAMPOS VIA BELVEDERE
2856;4110-03;PARTIDAS DA AVENIDA OLEGÁRIO MACIEL 
2857;4110-04;DOM CABRAL/FAC. MILTON CAMPOS - RG ÁREA CENTRAL
3365;4110-05;DOM CABRAL/FAC. MILTON CAMPOS VIA BELVEDERE
6216;4110-06;ATENDIMENTO CARNAVAL
7958;4110-07;RETORNO TREVO DO BIOCOR
739;4111-01;PRINCIPAL
740;4111-02;DESVIO FEIRA DA AV.AFONSO PENA/AV.BANDEIRANTES
741;4111-03;ATENDIMENTO A ESCOLA GUINARD
1582;4111-04;RETORNO NA PRACA DO PORTO
1583;4111-05;DESVIO FEIRA DA AV.AFONSO PENA/RETORNO PCA PORTO
2635;4111-06;DOM CABRAL/ANCHIETA - RET. RUA MONTES CLAROS
3366;4111-07;DOM CABRAL/ANCHIETA
3367;4111-08;DOM CABRAL/ANCHIETA ATEND ESCOLA GUINARD
3368;4111-09;DOM CABRAL/ANCHIETA
3369;4111-10;ATENDIMENTO CARNAVAL
6377;4111-11;RETORNO PÇA DO PORTO - CARNAVAL
6375;4111-12;ESCOLA GUINARD CARNAVAL
348;4113-01;BOM JESUS/BELVEDERE
349;4113-03;BOM JESUS/BELVEDERE
3370;4113-05;BOM JESUS/BELVEDERE
3371;4113-06;BOM JESUS/BELVEDERE
4856;4113-07;(BELVEDERE/CENTRO)
6219;4113-08;ATENDIMENTO CARNAVAL
6380;4113-09;FUND. TORINO  CARNAVAL
743;4114-01;BONFIM / CENTRO
744;4114-02;BONFIM / CENTRO
6220;4114-03;ATENDIMENTO CARNAVAL
351;4150-02;SHOPPING DEL REY/BH SHOPPING
2996;4150-03;SHOPPING DEL REY/BH SHOPPING-PART RUA HEITOR MENIN
353;4201-01;ALTO CAICARA/NOVA CINTRA
3372;4201-03;ALTO CAIÇARA/NOVA CINTRA
6221;4201-04;ATENDIMENTO CARNAVAL
7823;4201-05;DESVIO FEIRA AV.AFONSO PENA
6366;4201-06;ATENDIMENTO CARNAVAL
355;4205-01;ERMELINDA/SALGADO FILHO
6222;4205-03;ATENDIMENTO CARNAVAL
357;4403A-01;ZOOLOGICO VIA SERRANO
358;4403A-03;ZOOLOGICO VIA SERRANO
5319;4403A-05;RETORNO EXPRESSO
6256;4403A-06;ATENDIMENTO CARNAVAL
6257;4403A-07;NOTURNO: CARNAVAL
8098;4403A-08;VIA CENTRO SAÚDE CONFISCO
6367;4403B-05;ATENDIMENTO CARNAVAL
360;4403C-01;RESIDENCIAL SARANDI
6368;4403C-03;ATENDIMENTO CARNAVAL
362;4403D-01;URCA-CONFISCO
3536;4403D-03;VIA RESIDENCIAL SARANDI
6258;4403D-04;RESIDENCIAL SARANDI: CARNAVAL
6420;4403D-05;ATENDIMENTO CARNAVAL
364;4405-01;COQUEIROS
365;4405-03;COQUEIROS
366;4405-05;COQUEIROS
5957;4405-06;ATENDIMENTO NOTURNO
6250;4405-07;ATENDIMENTO CARNAVAL
6251;4405-08;HOSPITAIS_ R. ENEIDA: CARNAVAL
6252;4405-09;NOTURNO: CARNAVAL
368;4410-01;SERRANO
369;4410-02;SERRANO
370;4410-03;SERRANO
6253;4410-04;ATENDIMENTO CARNAVAL
372;4501-01;CALIFORNIA II / SAO PAULO
1441;4501-02;CALIFORNIA II / SAO PAULO - ATEND.  CALIFÓRNIA I
3295;4501-03;CALIFORNIA II / SÃO PAULO
3540;4501-04;CALIFORNIA II - CENTRO
6223;4501-05;ATENDIMENTO CARNAVAL
6225;4501-06;CALIFÓRNIA II/ CENTRO CARNAVAL
374;4801A-01;JARDIM FILADELFIA/BOA VISTA A
890;4801A-02;VIA R. IRACI - NOVO GLORIA
3322;4801A-03;JARDIM FILADELFIA/BOA VISTA A
3323;4801A-04;JARDIM FILADELFIA/BOA VISTA A ATEND R ARACI E B NO
6345;4801A-05;ATENDIMENTO CARNAVAL
6346;4801A-07;R. IRACI N. GLORIA  CARNAVAL
376;4802A-01;PINDORAMA/BOA VISTA
377;4802A-02;PINDORAMA/BOA VISTA
378;4802A-03;PINDORAMA/BOA VISTA - ATEND. JARDIM FILADÉLFIA
1822;4802A-04;PINDORAMA/BOA VISTA VIA RUA ALINE
2374;4802A-05;PINDORAMA / BOA VISTA - INVERSÃO DE PC
3435;4802A-06;PINDORAMA/BOA VISTA
3436;4802A-07;PINDORAMA/BOA VISTA - ATEND. JARDIM FILADÉLFIA
3437;4802A-08; INVERSÃO DE PC - BAIRRO PINDORAMA
6347;4802A-09;ATENDIMENTO CARNAVAL
6348;4802A-10;JARDIM FILADÉLFIA  CARNAVAL
6349;4802A-11;BAIRRO PINDORAMA CARNAVAL
7798;4802A-12;DESVIO FEIRA AV.AFONSO PENA
5559;50-01;EST. PAMPULHA/CENTRO-DIRETA
1196;5001-01;LINHA UEL - ESTAÇAO ELDORADO
1233;5001-02;LINHA UCL
6578;50-02;DIRETA AV. PARANA
1254;5002-01;LINHA UCI - ESTAÇÃO CIDADE INDUSTRIAL
6579;50-03;DIRETA AV. SANTOS DUMONT
1256;5003-01;LINHA UVO - ESTAÇÃO VILA OESTE
1258;5004-01;LINHA UGM - ESTAÇÃO GAMELEIRA
1260;5005-01;LINHA UCL - ESTAÇÃO CALAFATE
1252;5006-01;LINHA UCP - ESTAÇÃO CARLOS PRATES
1263;5007-01;LINHA ULG - ESTAÇÃO LAGOINHA
1266;5008-01;LINHA UCT - ESTAÇÃO CENTRAL
1269;5009-01;LINHA USE - ESTAÇÃO SANTA EFIGÊNIA
5483;50-10;LINHA TESTE MOVE - ANTONIO CARLOS
1272;5010-01;LINHA UST - ESTAÇÃO SANTA TERESA
1274;5011-01;LINHA UHF - ESTAÇÃO HORTO FLORESTAL
1277;5012-01;LINHA USI - ESTAÇÃO SANTA INÊS
1279;5013-01;LINHA UJC - ESTAÇÃO JOSÉ CÂNDIDO
1281;5014-01;LINHA UMS - ESTAÇÃO MINAS SHOPPING
1283;5015-01;LINHA USG -EST. SÃO GABRIEL ACESSO LESTE
1296;5015-02;LINHA USG -EST. SÃO GABRIEL LINHA BLOQUEIO OESTE
1297;5015-03;LINHA USG- EST. SÃO GABRIEL NIVEL EST. OESTE
1298;5015-04;LINHA USG- EST. SÃO GABRIEL  EST. OESTE 2º NIVEL
1285;5016-01;LINHA UPM - ESTAÇÃO PRIMEIRO DE MAIO
1287;5017-01;LINHA UWL - ESTAÇÃO WALDOMIRO LOBO
1289;5018-01;LINHA UFL - ESTAÇÃO FLORAMAR
1292;5019-01;LINHA UVL - ESTAÇÃO VILARINHO
382;5030-01;UFMG/CENTRO
383;5030-02;UFMG/CENTRO
384;5030-04;UFMG/CENTRO
380;503-01;EST.S.GABRIEL/APARECIDA/STA ROSA
6798;503-02;PARTIDAS DA EST.SÃO GABRIEL
386;5031-01;SUZANA/UNIVERSITARIO/PCA DA LIBERDADE
387;5031-02;SUZANA/UNIVERSITARIO - DESVIO FEIRA AFONSO PENA
6226;5031-03;ATENDIMENTO CARNAVAL
7121;5033-01;STA TEREZINHA/PÇA. DA LIBERDADE VIA TANC. NEVES 
7198;5033-02;ATENDIMENTO CARNAVAL
389;504-01;EST.S.GABRIEL/STA ROSA/APARECIDA
6799;504-02;PARTIDAS DA EST. SÃO GABRIEL
6125;5050-01;CIRCULAR PAMPULHA NOTURNO NOS MUSEUS
2895;505-01;CIRCULAR LAGOA DA PAMPULHA
2896;505-02;CIRCULAR LAGOA DA PAMPULHA
5322;506-01;VIA CASTELO E NOVO OURO PRETO
5323;506-02;VIA OURO PRETO E NOVO OURO PRETO
7018;506-03;VIA CASTELO
7019;506-04;VIA OURO PRETO
3700;507-01;OURO PRETO / SHOP. DEL REY
5563;510-01;EST.PAMPULHA/TREVO VIA GARÇAS
6800;510-02;PARTIDAS DA ESTAÇÃO PAMPULHA
6801;510-03;XANGRILA/ESTAÇÃO PAMPULHA
6802;510-04;ESTAÇÃO PAMPULHA/XANGRILA
5564;51-01;EST.PAMPULHA/CENTRO/HOSPITAIS
391;5101-01;SUZANA/CRUZEIRO
392;5101-02;SUZANA/CRUZEIRO - DESVIO FEIRA AV AFONSO PENA
6227;5101-03;ATENDIMENTO CARNAVAL
5566;51-02;NOTURNO
394;5102-01;UFMG/SANTO ANTONIO
395;5102-02;UFMG/SANTO ANTONIO
396;5102-03;UFMG/SANTO ANTONIO
397;5102-04;UFMG/SANTO ANTONIO
398;5102-05;UFMG/SANTO ANTONIO
878;5102-06;UFMG/ SANTO ANTONIO
879;5102-07;UFMG/ SANTO ANTONIO
880;5102-08;UFMG/ SANTO ANTONIO
2914;5102-09;UFMG/ SANTO ANTONIO - NÃO ATEND. CTO PEDAGÓGICO
2915;5102-10;UFMG/ SANTO ANTONIO - PART. PÇA DA LIBERDADE
6382;5102-11;ATENDIMENTO CARNAVAL
6385;5102-12;NÃO ATEND.UFMG  CARNAVAL
5976;51-03;DIRETA MANHÃ
6421;51-04;ATENDIMENTO CARNAVAL
7079;5104-01;PRINCIPAL
7080;5104-02;DESVIO FEIRA AV. AFONSO PENA
7081;5104-03;SUZANA/RETORNO PÇA LIBERDADE
7082;5104-04;SUZANA/RET.P. LIBERDADE-FEIRA
7083;5104-05;UNIVERSITÁRIO/RET.PÇA LIBERDADE
7200;5104-06;ATENDIMENTO CARNAVAL
7201;5104-07;SUZANA-RETORNO CARNAVAL
6538;51-05;DIRETA TARDE
5700;5106-01;BANDEIRANTES/BH SHOPPING
5701;5106-02;NOTURNO
5702;5106-03;DESVIO FEIRA AV. AFONSO PENA
5703;5106-04;NÃO ATEND. CLUBE BH 
5704;5106-05;NÃO ATEND.CLUBE BH/DESVIO FEIRA
6058;5106-06;ESTAÇÃO UFMG/SAVASSI
6431;5106-07;ATENDIMENTO CARNAVAL
7140;5107-01;PRINCIPAL
7480;5107-02;ATENDIMENTO CARNAVAL
5708;511-01;EST.SÃO JOSÉ/J.ALVORADA
6120;512-01;CIRCUITO PAMPULHA
5569;52-01;EST. PAMPULHA / AV. ANTONIO CARLOS
400;5201-01;DONA CLARA/BURITIS
952;5201-03;DONA CLARA/BURITIS
1525;5201-04;PART.RUA BOAVENTURA/BURITIS
2239;5201-05;PART.RUA CURITIBA/BURITIS 
2240;5201-06;BURITIS - CENTRO
2241;5201-07;DONA CLARA/BURITIS - PART.GARAGEM - RET. EXPRESSO
2243;5201-08;BURITIS / DONA CLARA -  RETORNO EXPRESSO
5783;5201-09;NOTURNO
5916;5201-10;PART. EST. SÃO FRANCISCO
6432;5201-11;ATENDIMENTO CARNAVAL
7119;5203-01;CASTELO/ESTRELA DO ORIENTE VIA MANACÁS
7203;5203-02;ATENDIMENTO CARNAVAL
5620;5250-01;EST. PAMPULHA / BETANIA
5624;5250-02;NOTURNO
5626;5250-03;VIA AREA CENTRAL
5996;5250-04;DIRETA/RETORNO CEFET I
6660;5250-05;ATENDIMENTO CARNAVAL
6681;5250-06;VIA ÁREA CENTRAL _CARNAVAL
3702;533-01;CASTELO/SHOP.DEL REY
3704;535-01;XANGRILÁ VIA ITAMARATI / SHOPPING DEL REY
6618;535-02;ATENDIMENTO ASPAC
402;5401-01;SAO LUIZ/DOM CABRAL
2714;5401-03;SAO LUIZ/DOM CABRAL - RETORNO CENTRO
3296;5401-04;SAO LUIZ/DOM CABRAL
5596;5401-05;VIA AL. DO IPE BRANCO
5635;5401-06;NOTURNO
6433;5401-07;ATENDIMENTO CARNAVAL
5819;55-01;CENTRO/ MINEIRÃO
6918;55-02;ESTAÇÃO PAMPULHA / MINEIRÃO
758;5502A-01;JARDIM VITORIA A
759;5502A-03;JARDIM VITORIA A - ATEND. POUSADA SANTO ANTONIO
2358;5502A-04;JARDIM VITORIA A / RETORNO EXPRESSO
3235;5502A-05;JARDIM VITORIA A / PARTIDA AV MAGENTA
3954;5502A-06;ATEND. NOTURNO POUSADA SANTO ANTONIO/VITÓRIA
5176;5502A-07;JARDIM VITÓRIA A - ATENDIMENTO VITORIA II
761;5502B-01;CAPITAO EDUARDO
1937;5502B-03;ATENDIMENTO RUA DAS MANGUEIRAS (MANHÂ)
1954;5502B-04;ATENDIMENTO RUA DAS MANGUEIRAS (TARDE)
1939;5502B-05;CAPITÃO EDUARDO / ATEND. SESC
2734;5502B-06;CAPITÃO EDUARDO / RETORNO EXPRESSO
4957;5502B-07;ATENDIMENTO AO CSESC (PT)
763;5502C-01;POUSADA SANTO ANTONIO
764;5502C-04;POUSADA SANTO ANTONIO
2196;5502C-05;POUSADA SANTO ANTONIO
2494;5502C-06;ATEND. BAIRRO VITÓRIA - VIA POUSADA (MANHÂ)
2495;5502C-07;ATEND. BAIRRO VITÓRIA - VIA POUSADA (TARDE)
2735;5502C-08;RETORNO EXPRESSO
6365;5502C-09;ATENDIMENTO CARNAVAL
6363;5502C-10;BAIRRO VITÓRIA - CARNAVAL: MANHÃ
6361;5502C-11;BAIRRO VITÓRIA - CARNAVAL: TARDE
7458;55-03;ESTAÇÃO BARREIRO / MINEIRÃO
404;5503A-02;GOIANIA A
405;5503A-03;NOTURNO
406;5503A-04;VIA VILA S. JORGE E EST. JOSÉ CANDIDO
407;5503A-06;VIA VILA SÃO JORGE
3717;5503A-07;VIA EST. JOSÉ CANDIDO
5220;5503A-08;RETORNO NO CENTRO
6259;5503A-09;NOTURNO: CARNAVAL
6260;5503A-10;VILA S. JORGE EST. JC: CARNAVAL
6261;5503A-11;EST. J. CÂNDIDO: CARNAVAL
6360;5503A-12;ATENDIMENTO CARNAVAL
6358;5503A-13;VIA VILA SÃO JORGE - CARNAVAL
409;5503B-02;GOIANIA B
6356;5503B-03;ATENDIMENTO CARNAVAL
7459;55-04;ESTAÇÃO VENDA NOVA / MINEIRÃO
7460;55-05;EST. RIO DE JANEIRO / MINEIRÃO
411;5505A-01;NAZARE
412;5505A-02;NAZARE
1242;5505A-03;NAZARE
1245;5505A-04;NAZARE
414;5505B-01;VISTA DO SOL
416;5506A-01;RIBEIRO DE ABREU
4976;5506A-02;RIBEIRO DE ABREU - RET. EXPRESSO (PORTAS FECHADAS)
6355;5506A-03;ATENDIMENTO CARNAVAL
418;5506B-01;RIBEIRO DE ABREU VIA CONJUNTO
4254;5506B-02;RIBEIRO DE ABREU / CENTRO
4255;5506B-03;CENTRO / RIBEIRO DE ABREU
420;5506C-01;PAULO VI VIA RIBEIRO DE ABREU
421;5506C-02;PAULO VI - ATENDIMENTO CONJ. RIBEIRO DE ABREU
1311;5506C-03;PAULO VI VIA RIBEIRO DE ABREU
423;5506D-01;RIBEIRO DE ABREU D
425;5507A-01;JARDIM GUANABARA A
426;5507A-02;JARDIM GUANABARA A
427;5507A-03;JARDIM GUANABARA A
2997;5507A-04;JARDIM GUANABARA A - CENTRO / RETORNO EXPRESSO
2998;5507A-05;JARDIM GUANABARA A - PARTIDAS AV PARANÁ
2999;5507A-06;JARDIM GUANABARA A  - CENTRO
766;5507B-01;FELICIDADE
429;5507C-01;JARDIM GUANABARA C
430;5507C-02;JARDIM GUANABARA C
1046;5508-01;AARÃO REIS VIA MINASLANDIA
1047;5508-02;AARÃO REIS VIA MINASLANDIA DESVIO FEIRA AV AFONSO 
1048;5508-03;AARÃO REIS VIA MINASLANDIA / CENTRO
1049;5508-04;AARÃO REIS VIA MINASLANDIA-PARTIDAS AV CONTORNO
432;5508A-01;MINASLANDIA VIA PRIMEIRO DE MAIO
434;5508B-01;AARAO REIS VIA PRIMEIRO DE MAIO
435;5508B-02;AARAO REIS VIA PRIMEIRO DE MAIO
436;5508B-03;AARAO REIS VIA PRIMEIRO DE MAIO
438;5513-01;JULIANA VIA ETELVINA CARNEIRO
439;5513-02;JULIANA VIA ETELVINA CARNEIRO
440;5513-03;JULIANA VIA ETELVINA CARNEIRO
2780;5513-04;JULIANA - CENTRO
2796;5513-05;JULIANA - PARTIDAS AV SANTOS DUMONT
992;5517-01;MINAS CAIXA / VIA SERRA VERDE
993;5517-02;MINAS CAIXA / VIA SERRA VERDE
994;5517-03;MINAS CAIXA / VIA SERRA VERDE
1464;5517-04;MINAS CAIXA / CENTRO
1465;5517-05;MINAS CAIXA/ VIA SERRA VERDE - PART. RUA GUAICURUS
2254;5517-06;MINAS CAIXA / VIA SERRA VERDE - RETORNO EXPRESSO
2255;5517-07;MINAS CAIXA / VIA S. VERDE PART. AV LEONTINO ALVES
2415;5517-08;MINAS CAIXA VIA SERRA VERDE
3075;5517-09;ATENDIMENTO CIDADE ADMI NISTRATIVA - C/B
3076;5517-10;ATENDIMENTO CIDADE ADMINISTRATIVA -  B/C
3894;5517-11;MINAS CAIXA/ CENTRO - RETORNO EXPRESSO            
442;5517A-01;MINAS CAIXA VIA SERRA VERDE A
444;5517B-01;MINAS CAIXA VIA SERRA VERDE B
446;5520A-01;SAO TOMAZ
448;5520B-01;HELIOPOLIS
450;5521A-01;SOLIMOES
452;5521B-01;LAJEDO
453;5521B-03;LAJEDO
455;5521C-01;NOVO AARAO REIS
456;5521C-03;NOVO AARAO REIS
458;5522A-01;MONTE AZUL
459;5522A-02;MONTE AZUL
461;5522B-01;CASAS POPULARES
463;5523A-01;CONJUNTO PAULO VI
464;5523A-02;CONJUNTO PAULO VI - ATEND. RUA SÃO JACINTO
465;5523A-03;CONJUNTO PAULO VI 
1028;5523A-04;CONJUNTO PAULO VI / CENTRO
1029;5523A-05;CONJUNTO PAULO VI / PARTIDAS AV CONTORNO
