NumeroLinha;Linha;Nome
6468;1505-10;CONJ. FELICIDADE - CARNAVAL
72;1505R-01;CENTRO/CONJUNTO FELICIDADE
73;1505R-02;CENTRO/CONJUNTO FELICIDADE
74;1505R-03;CENTRO/CONJUNTO FELICIDADE
6386;1505R-04;ATENDIMENTO CARNAVAL
76;1509-02;CALIFORNIA/TUPI
77;1509-05;CALIFORNIA/TUPI
3357;1509-07;CALIFORNIA/TUPI
6200;1509-08;ATENDIMENTO CARNAVAL
79;1510-01;MADRE GERTRUDES/PROVIDENCIA
3294;1510-03;MADRE GERTRUDES/PROVIDENCIA
6201;1510-04;NOTURNO CARNAVAL
787;2000-01;EST. VENDA NOVA
1913;2001-01;LINHA DE BLOQUEIO ESTAÇÃO VENDA NOVA
1914;2001-02;LINHA DE BLOQUEIO ESTAÇÃO VENDA NOVA
1915;2001-03;LINHA DE BLOQUEIO ESTAÇÃO VENDA NOVA
1916;2001-04;LINHA DE BLOQUEIO ESTAÇÃO VENDA NOVA ACESSO LOJAS
3498;2001-09;LINHA BLOQUEIO VENDA NOVA DOMINGO
3499;2001-10;LINHA BLOQUEIO VENDA NOVA DOMINGO
3195;2002-01;TOTEM ÁREA PAGA ESTAÇÃO VENDA NOVA
3196;2002-02;TOTEM ÁREA PAGA RESTAURANTE POPULAR
729;2004-01;BANDEIRANTES/PILAR VIA OLHOS D´AGUA
730;2004-02;BANDEIRANTES/PILAR ATEND.CLUBE BH/DESVIO FEIRA
731;2004-03;BANDEIRANTES/PILAR VIA OLHOS D´AGUA-DESVIO FEIRA
732;2004-04;BANDEIRANTES/PILAR VIA OLHOS D´AGUA
81;201-01;MORRO DAS PEDRAS
82;201-02;VIA R. NASCIMENTO GURGEL
2154;201-03;VIA VILA MONTE SÃO JOSÉ
7539;2020-01;FOLIÔNIBUS - CONTORNO
7540;2020-02;FOLIÔNIBUS - CONTORNO/FLORESTA
7541;2020-03;FOLIÔNIBUS - PAMPULHA
84;202-01;ESTACAO VILA OESTE
3721;202-02;VIA MADRE GERTRUDES
86;203-01;MORRO DAS PEDRAS/VENTOSA
5291;2031-01;VISTA ALEGRE/CENTRO
5293;2032-01;MADRE GERTRUDES/CENTRO
5628;2033-01;BETÂNIA / CENTRO
6269;2033-02;ATENDIMENTO CARNAVAL
5630;2034-01;CONJUNTO BETÂNIA / CENTRO
6244;2034-02;ATENDIMENTO CARNAVAL
5632;2035-01;BAIRRO DAS INDÚSTRIAS / CENTRO
6245;2035-02;ATENDIMENTO CARNAVAL
88;204-01;EST.VILA OESTE/ NOVA GAMELEIRA
872;205-01;METRO CALAFATE/ BURITIS
1442;205-02;METRÔ CALAFATE/BURITIS - RET. PÇ WILSON S. FLORES
2557;206-01;CIRCULAR OESTE
2558;206-02;CIRCULAR OESTE
2559;206-03;CIRCULAR OESTE
2560;206-04;CIRCULAR OESTE
5634;207-01;BETÂNIA / ESTAÇÃO VILA OESTE
6640;208-01;ESTAÇÃO BARREIRO/BETÂNIA VIA NOVO DAS INDUSTRIAS
90;2101-01;GRAJAU/SION
91;2101-02;GRAJAU/SION
3358;2101-03;GRAJAU/SION
6202;2101-04;ATENDIMENTO CARNAVAL
93;2102-01;GAMELEIRA / SERRA
94;2102-02;GAMELEIRA / SERRA
95;2102-03;GAMELEIRA / SERRA
789;2102-04;GAMELEIRA / SERRA
6207;2102-05;ATENDIMENTO CARNAVAL
97;2103-01;PRADO/ANCHIETA
3359;2103-03;PRADO/ANCHIETA
3574;2103-04;PRADO/ANCHIETA DESVIO FEIRA AV. AFONSO PENA
6210;2103-05;ATENDIMENTO CARNAVAL
98;2103-06;DESVIO FEIRA DA AV. AFONSO PENA
100;2104-01;NOVA GAMELEIRA/BH SHOPPING
101;2104-02;DESVIO FEIRA AF. PENA
102;2104-03;NOVA GAMELEIRA/FACULDADE MILTON CAMPOS
103;2104-04;VIA ISABELLA HENDRIX 
2995;2104-05;FACULDADE  MILTON CAMPOS /  CENTRO
3360;2104-06;NOVA GAMELEIRA/FACULDADE MILTON CAMPOS
3361;2104-07;NOVA GAMELEIRA/FAC MILTON CAMPOS ATEND IZABELLA HE
