ID_REDE_PRIORIZACAO_ONIBUS;NOME_ROTA;SITUACAO;INFRAESTRUTURA_ATUAL;INFRAESTRUTURA_PLANEJADA;ANO_IMPLANT_INFRA_ATUAL;HORIZONTE_IMPLANTACAO;POSICIONAMENTO_VIA;SISTEMA_BRT;REFERENCIA_LOGRADOURO;EXTENSAO_REDE_PLANEJADA;TIPO_LOGRADOURO;NOME_LOGRADOURO;LOGRAD_INICIAL;LOGRAD_FINAL;GEOMETRIA;EXTENSAO_TRECHO
1882;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;36.915;RUA;PADRE EUSTAQUIO;RUA CORUMBA;RUA VIRGINIA;MULTILINESTRING ((609022.925109825 7797736.50433215, 608992.934974121 7797758.03994864));36.915
1883;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;26.968;RUA;PADRE EUSTAQUIO;TRV QUINHENTOS E QUARENTA E SETE;TRV QUINHENTOS E SETENTA E UM;MULTILINESTRING ((608980.401290791 7797766.76817203, 608958.21172379 7797782.09505229));26.968
1884;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;15.273;RUA;PADRE EUSTAQUIO;RUA VIRGINIA;TRV QUINHENTOS E QUARENTA E SETE;MULTILINESTRING ((608992.934974121 7797758.03994864, 608980.401290791 7797766.76817203));15.273
163;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;71.589;AVE;DOM PEDRO II;RUA TRES PONTAS;RUA RIO CASCA;MULTILINESTRING ((609403.173973689 7797856.82984024, 609371.031672624 7797920.79681995));71.589
1828;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;50.135;RUA;TRES PONTAS;AVE DOM PEDRO II;RUA RIO CASCA;MULTILINESTRING ((609403.173973689 7797856.82984024, 609354.935784558 7797870.48706035));50.135
166;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;41.313;AVE;DOM PEDRO II;RUA TREMEDAL;RUA TRES PONTAS;MULTILINESTRING ((609421.61992738 7797819.86736384, 609403.173973689 7797856.82984024));41.313
1885;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;81.316;RUA;PADRE EUSTAQUIO;RUA MONTE SANTO;RUA BOM SUCESSO;MULTILINESTRING ((608431.343502499 7797927.32549105, 608352.232872324 7797908.519319));81.316
2032;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;81.161;RUA;TRES PONTAS;RUA MONTE SANTO;RUA BOM SUCESSO;MULTILINESTRING ((608413.664412329 7797996.48141457, 608334.974320212 7797976.5654684));81.161
472;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;123.168;AVE;PRESIDENTE CARLOS LUZ;RUA SARGENTO ROBSON DA CRUZ;RUA ARGEMIRO RODRIGUES DA SILVA;MULTILINESTRING ((608375.362465574 7800076.02812886, 608360.734337793 7800124.46826901, 608347.400807566 7800149.23322817, 608332.789171474 7800165.7398683, 608314.574101424 7800178.77721458));123.168
473;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;130.997;AVE;PRESIDENTE CARLOS LUZ;ALA IPE ROXO;TRV IPE;MULTILINESTRING ((608158.340089548 7800332.46593169, 608146.144485835 7800363.86953958, 608125.183549634 7800415.30906921, 608105.5007193 7800452.14157206));130.997
475;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;141.298;AVE;PRESIDENTE CARLOS LUZ;RUA ARGEMIRO RODRIGUES DA SILVA;AVE DEL REY;MULTILINESTRING ((608314.574101424 7800178.77721458, 608284.287115325 7800197.09348636, 608246.158331301 7800220.0688098, 608226.318829924 7800234.70583047, 608211.690702143 7800246.71338637, 608199.437377519 7800259.64075504));141.298
1268;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;208.33;AVE;PRESIDENTE ANTONIO CARLOS;RUA RIO NOVO;RUA COMENDADOR NOHME SALOMAO;MULTILINESTRING ((610599.629489346 7798439.06132871, 610598.986313491 7798461.39678239, 610582.709016851 7798535.33173315, 610573.391212796 7798571.88429298, 610560.601908293 7798599.89859075, 610536.754926589 7798634.18161254));208.33
2046;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;72.34;AVE;DOM PEDRO II;RUA BELO VALE;RUA CARLOS GOES;MULTILINESTRING ((606445.414362258 7798311.98719428, 606412.439230918 7798376.37408851));72.34
2047;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;81.506;AVE;DOM PEDRO II;VDP DOIS MIL NOVECENTOS E OITENTA E CINCO;RUA BELO VALE;MULTILINESTRING ((606483.031903936 7798239.68191181, 606445.414362258 7798311.98719428));81.506
2048;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;32.588;AVE;DOM PEDRO II;RUA ESTEVAO DE OLIVEIRA;VDP DOIS MIL NOVECENTOS E OITENTA E CINCO;MULTILINESTRING ((606497.330197945 7798210.39787249, 606483.031903936 7798239.68191181));32.588
1267;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;168.184;AVE;PRESIDENTE ANTONIO CARLOS;;RUA RIO NOVO;MULTILINESTRING ((610657.342153574 7798281.96330556, 610637.395456222 7798318.51586539, 610617.745609264 7798370.55527292, 610608.88957249 7798398.63955644, 610599.629489346 7798439.06132871));168.184
1269;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;100.903;AVE;PRESIDENTE ANTONIO CARLOS;TRE TRES MIL SETECENTOS E VINTE E SEIS;TRE TRES MIL SETECENTOS E VINTE E SEIS;MULTILINESTRING ((609776.842653806 7800768.48718083, 609778.129005516 7800785.36374565, 609801.176140323 7800866.1173085));100.903
1270;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;140.215;AVE;PRESIDENTE ANTONIO CARLOS;RUA DOS TECELOES;RUA APORE;MULTILINESTRING ((609895.475615692 7800484.1850497, 609817.775024891 7800600.90129245));140.215
1870;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;118.587;RUA;PADRE EUSTAQUIO;VDP TRES MIL QUINHENTOS E NOVENTA E CINCO;RUA MONTE SANTO;MULTILINESTRING ((608539.693896548 7797966.86744241, 608500.451923544 7797966.2975584, 608431.343502499 7797927.32549105));118.587
1243;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;107.056;AVE;PRESIDENTE CARLOS LUZ;TRE DOIS MIL QUATROCENTOS E QUARENTA E CINCO;TRE DOIS MIL QUATROCENTOS E QUARENTA E CINCO;MULTILINESTRING ((608045.891510884 7800533.50501077, 607974.90303734 7800613.63869979));107.056
462;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;278.628;AVE;PRESIDENTE CARLOS LUZ;RUA DELTA;RUA JOSE BENEDITO ANTAO;MULTILINESTRING ((608255.171039116 7799695.41560144, 608258.774473073 7799716.05140108, 608265.478344486 7799739.73658003, 608274.350872948 7799759.79249771, 608283.577972716 7799775.40931895, 608371.379722779 7799893.33531545, 608382.074582831 7799909.91194133, 608392.068546118 7799934.16700428));278.628
162;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;117.586;AVE;DOM PEDRO II;RUA JAGUARI;RUA ANFIBOLIOS;MULTILINESTRING ((609665.721656073 7797680.07581801, 609625.506673442 7797681.22558398, 609586.264700437 7797688.08418793, 609549.554201632 7797695.82261279));117.586
1264;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;116.104;AVE;PRESIDENTE ANTONIO CARLOS;RUA CEZAR GEORGE;TRV DOIS MIL QUATROCENTOS E DOIS;MULTILINESTRING ((609962.61327995 7799781.098161, 609927.725112733 7799891.83562071));116.104
185;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;154.143;AVE;DOM PEDRO II;RUA ACARAPE;RUA ARCEBURGO;MULTILINESTRING ((610115.342807999 7797824.03651523, 610077.197532286 7797819.96734349, 610057.12714727 7797814.59843632, 610042.787624039 7797810.13934395, 610026.196985316 7797802.76084583, 610017.596569715 7797796.62209535, 609992.405515391 7797783.09484878, 609971.840379717 7797773.54679226));154.143
191;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;72.039;AVE;DOM PEDRO II;VDT SARAH KUBITSCHEK;RUA PECANHA;MULTILINESTRING ((610467.621768012 7797806.89000535, 610395.643793152 7797809.84940297));72.039
1977;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;134.226;RUA;TRES PONTAS;RUA MANGA;RUA MONTE SANTO;MULTILINESTRING ((608544.163144157 7798027.84503059, 608413.664412329 7797996.48141457));134.226
1968;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;86.349;RUA;TRES PONTAS;RUA PRADOS;RUA ESPINOSA;MULTILINESTRING ((608973.631452624 7797984.10393397, 608890.735979916 7798008.25901727));86.349
1866;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;125.956;RUA;PADRE EUSTAQUIO;RUA JACARINA;RUA BONAPARTE;MULTILINESTRING ((607628.354939114 7797569.708283, 607502.803713863 7797579.78623166));125.956
1834;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;135.461;RUA;RIO POMBA;RUA JACARINA;RUA PERDIZES;MULTILINESTRING ((607612.910472747 7797713.73896597, 607477.827051491 7797723.93689021));135.461
1868;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;139.866;RUA;PADRE EUSTAQUIO;AVE NOSSA SENHORA DE FATIMA;RUA TREMEDAL;MULTILINESTRING ((609493.375264443 7797578.26654099, 609463.492324715 7797578.51649012, 609356.972508099 7797605.88092017));139.866
1840;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;110.823;RUA;RIO POMBA;RUA CATAGUAZES;RUA LIMA DUARTE;MULTILINESTRING ((608272.042036545 7797889.73314287, 608225.543720561 7797878.1155076, 608164.499735237 7797862.97858868));110.823
1843;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;101.824;RUA;RIO POMBA;RUA LIMA DUARTE;RUA MESQUITA;MULTILINESTRING ((608164.499735237 7797862.97858868, 608065.714520572 7797838.31360916));101.824
1845;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;110.748;RUA;RIO POMBA;RUA MESQUITA;RUA MALACACHETA;MULTILINESTRING ((608065.714520572 7797838.31360916, 607957.957827312 7797812.68882502));110.748
1265;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;191.436;AVE;PRESIDENTE ANTONIO CARLOS;RUA COMENDADOR NOHME SALOMAO;;MULTILINESTRING ((610536.754926589 7798634.18161254, 610499.50020206 7798687.87068429, 610485.020499477 7798736.68074914, 610470.936597419 7798810.52571821));191.436
1266;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;86.765;AVE;PRESIDENTE ANTONIO CARLOS;;;MULTILINESTRING ((610470.936597419 7798810.52571821, 610457.025858092 7798896.16828591));86.765
1973;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;98.276;RUA;TRES PONTAS;RUA RIO CASCA;RUA UBERLANDIA;MULTILINESTRING ((609354.935784558 7797870.48706035, 609260.933159584 7797899.15122585));98.276
1975;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;86.361;RUA;TRES PONTAS;RUA UBERLANDIA;RUA NOVA LIMA;MULTILINESTRING ((609260.933159584 7797899.15122585, 609178.161374541 7797923.80620739));86.361
194;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;90.545;AVE;DOM PEDRO II;RUA PERDIZES;RUA ANTONIO PEIXOTO GUIMARAES;MULTILINESTRING ((607488.49717401 7797855.85003968, 607398.007278706 7797858.99939863));90.545
196;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;110.978;AVE;DOM PEDRO II;RUA CESARIO ALVIM;RUA CASTIGLIANO;MULTILINESTRING ((607353.33129431 7797860.13916664, 607242.408196841 7797863.87840552));110.978
1854;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;112.041;RUA;PADRE EUSTAQUIO;RUA CASTIGLIANO;RUA PROGRESSO;MULTILINESTRING ((607233.642864354 7797595.33306715, 607121.705528036 7797600.14208829));112.041
1855;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;112.244;RUA;RIO POMBA;RUA CASTIGLIANO;RUA PROGRESSO;MULTILINESTRING ((607238.920204704 7797736.96423853, 607126.76023059 7797741.28335939));112.244
385;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;112.013;AVE;DOM PEDRO II;RUA CASTIGLIANO;RUA PROGRESSO;MULTILINESTRING ((607242.408196841 7797863.87840552, 607130.479106367 7797868.20752434));112.013
1856;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;112.525;RUA;PADRE EUSTAQUIO;RUA PROGRESSO;RUA FRANCISCO BICALHO;MULTILINESTRING ((607121.705528036 7797600.14208829, 607009.240457683 7797603.79134549));112.525
388;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;111.279;AVE;DOM PEDRO II;RUA PROGRESSO;RUA FRANCISCO BICALHO;MULTILINESTRING ((607130.479106367 7797868.20752434, 607019.242666815 7797870.95696471));111.279
1838;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;111.861;RUA;RIO POMBA;RUA PROGRESSO;RUA FRANCISCO BICALHO;MULTILINESTRING ((607126.76023059 7797741.28335939, 607014.971319469 7797745.3025413));111.861
488;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;271.623;AVE;PRESIDENTE CARLOS LUZ;AVE AMERICO VESPUCIO;RUA SIGMA;MULTILINESTRING ((608188.849713443 7799273.6814442, 608235.818042553 7799451.44526089, 608238.126878956 7799469.94149604, 608241.367495765 7799492.12698025, 608243.222810731 7799507.39387272, 608245.762530774 7799538.60751927));271.623
1847;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;130.07;RUA;RIO POMBA;RUA PERDIZES;RUA CESARIO ALVIM;MULTILINESTRING ((607477.827051491 7797723.93689021, 607348.078691493 7797732.95505459));130.07
1851;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;109.224;RUA;RIO POMBA;RUA CESARIO ALVIM;RUA CASTIGLIANO;MULTILINESTRING ((607348.078691493 7797732.95505459, 607238.920204704 7797736.96423853));109.224
1858;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;87.913;RUA;PADRE EUSTAQUIO;RUA FREDERICO BRACHER JUNIOR;RUA MANHUMIRIM;MULTILINESTRING ((607960.497547355 7797672.63733209, 607945.655027622 7797663.99909038, 607931.414454523 7797656.3506472, 607879.185276753 7797640.52386869));87.913
1857;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;117.742;RUA;RIO POMBA;RUA MALACACHETA;RUA MANHUMIRIM;MULTILINESTRING ((607957.957827312 7797812.68882502, 607843.546737705 7797784.87448654));117.742
1860;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;124.87;RUA;PADRE EUSTAQUIO;RUA MANHUMIRIM;RUA JANDAIA;MULTILINESTRING ((607879.185276753 7797640.52386869, 607760.090547586 7797602.9915083));124.87
1862;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;114.614;RUA;PADRE EUSTAQUIO;RUA JANDAIA;RUA INGAI;MULTILINESTRING ((607760.090547586 7797602.9915083, 607650.841356509 7797568.3385618));114.614
1836;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;124.694;RUA;RIO POMBA;RUA MANHUMIRIM;RUA JANDAIA;MULTILINESTRING ((607843.546737705 7797784.87448654, 607724.37779594 7797748.1819552));124.694
1830;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;116.676;RUA;RIO POMBA;RUA JANDAIA;RUA JACARINA;MULTILINESTRING ((607724.37779594 7797748.1819552, 607612.910472747 7797713.73896597));116.676
182;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;125.555;AVE;DOM PEDRO II;RUA MANHUMIRIM;RUA JANDAIA;MULTILINESTRING ((607804.172831192 7797947.14145757, 607686.207782694 7797904.13021239));125.555
186;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;112.069;AVE;DOM PEDRO II;RUA JACARINA;RUA PERDIZES;MULTILINESTRING ((607597.292843651 7797872.66661671, 607547.859007096 7797854.42033069, 607488.49717401 7797855.85003968));112.069
1141;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;76.388;AVE;CRISTIANO MACHADO;AVE BERNARDO DE VASCONCELOS;VDT ANIBAL MACHADO;MULTILINESTRING ((612191.102176001 7801958.38498058, 612212.063112202 7802031.84002902));76.388
1143;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;26.903;AVE;CRISTIANO MACHADO;VDT HELIO PELEGRINO;RUA PADRE JOSE ALVES;MULTILINESTRING ((612229.132009894 7802811.32136785, 612231.75418838 7802818.72985988, 612238.293142907 7802836.61621916));26.903
1144;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;40.32;AVE;CRISTIANO MACHADO;RUA PADRE JOSE ALVES;VDT HELIO PELEGRINO;MULTILINESTRING ((612208.401957334 7802776.73840711, 612229.132009894 7802811.32136785));40.32
386;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;91.43;AVE;DOM PEDRO II;RUA ESPINOSA;RUA SABINOPOLIS;MULTILINESTRING ((608983.740857731 7798316.70623373, 608952.662270579 7798332.88294101, 608926.861023777 7798342.20104434, 608899.657983445 7798352.13902149));91.43
387;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;121.221;AVE;DOM PEDRO II;AVE PRESIDENTE CARLOS LUZ;RUA MANGA;MULTILINESTRING ((608595.732654384 7798327.83396871, 608481.428760753 7798287.4821822));121.221
1864;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;88.19;RUA;PADRE EUSTAQUIO;RUA VALENCA;RUA MANGA;MULTILINESTRING ((608646.658988756 7797968.40712901, 608639.798446302 7797967.15738339, 608620.610366625 7797966.03761131, 608566.740265839 7797966.60749532, 608558.618109208 7797966.697477));88.19
1142;BRT CRISTIANO MACHADO;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;98.575;AVE;CRISTIANO MACHADO;;RUA JOAO CARLOS;MULTILINESTRING ((612114.366348983 7798960.69515166, 612137.520679766 7798985.09018612, 612156.560334245 7799016.46380011, 612167.692224045 7799042.4185171));98.575
477;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;157.119;AVE;PRESIDENTE CARLOS LUZ;RUA SIGMA;RUA DELTA;MULTILINESTRING ((608245.762530774 7799538.60751927, 608253.051857132 7799678.13911802, 608255.171039116 7799695.41560144));157.119
479;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;84.056;AVE;PRESIDENTE CARLOS LUZ;AVE DEL REY;ALA IPE ROXO;MULTILINESTRING ((608199.437377519 7800259.64075504, 608183.671323226 7800279.73666458, 608169.142145576 7800308.4508199, 608158.340089548 7800332.46593169));84.056
1153;BRT CRISTIANO MACHADO;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;2025;LATERAL;NÃO;;75.921;AVE;CRISTIANO MACHADO;RUA ARISTIDES NONATO DOS SANTOS;TRE WALDOMIRO LOBO X CRISTIANO MACHADO;MULTILINESTRING ((611764.412717062 7805048.86592214, 611764.660092391 7805124.79046792));75.921
466;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;65.712;AVE;PRESIDENTE CARLOS LUZ;RUA BELMIRO BRAGA;RUA DESEMBARGADOR TORRES;MULTILINESTRING ((608455.619268107 7798556.36745139, 608422.149386109 7798612.91594111));65.712
470;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;79.482;AVE;PRESIDENTE CARLOS LUZ;RUA DESEMBARGADOR TORRES;RUA PIRANHAS;MULTILINESTRING ((608422.149386109 7798612.91594111, 608380.161546954 7798680.40220447));79.482
1154;BRT CRISTIANO MACHADO;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;2025;LATERAL;NÃO;;188.435;AVE;CRISTIANO MACHADO;RUA EUNICE RODRIGUES DE SOUZA;RUA ARISTIDES NONATO DOS SANTOS;MULTILINESTRING ((611728.642244506 7804864.08353406, 611754.971225343 7804976.73060508, 611764.412717062 7805048.86592214));188.435
1292;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;160.282;AVE;PRESIDENTE ANTONIO CARLOS;RUA JOAO DE MATOS;RUA TANDERNIL;MULTILINESTRING ((609807.154377438 7801265.87593879, 609755.090116553 7801417.46508326));160.282
1293;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;254.354;AVE;PRESIDENTE ANTONIO CARLOS;RUA CONEGO SANTA APOLONIA;RUA JOAO DE MATOS;MULTILINESTRING ((609846.247925245 7801019.13616196, 609852.052999629 7801053.67913083, 609853.966035506 7801101.59937681, 609849.315379323 7801137.19213201, 609844.656477296 7801155.80834273, 609807.154377438 7801265.87593879));254.354
1279;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;80.627;AVE;PRESIDENTE ANTONIO CARLOS;RUA JEQUITAI;RUA DOUTOR ANTONIO MOURAO GUIMARAES;MULTILINESTRING ((610061.736574231 7799572.26066927, 610037.535021223 7799602.7944542, 610013.053109508 7799636.50759199));80.627
482;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;93.333;AVE;PRESIDENTE CARLOS LUZ;RUA DONA ALEXANDRINA;RUA MAGNOLIA;MULTILINESTRING ((608555.047658628 7798394.53039285, 608504.352207896 7798472.88444411));93.333
165;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;53.496;AVE;DOM PEDRO II;RUA DOMINGOS DE SOUZA;RUA ITANHOMI;MULTILINESTRING ((608741.444968938 7798366.10617852, 608688.795253108 7798356.62810775));53.496
159;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;62.37;AVE;DOM PEDRO II;RUA ITAMARANDIBA;RUA DOMINGOS DE SOUZA;MULTILINESTRING ((608803.742322594 7798367.08597908, 608774.56027963 7798367.95580203, 608741.444968938 7798366.10617852));62.37
1971;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;83.91;RUA;TRES PONTAS;RUA VIRGINIA;RUA PRADOS;MULTILINESTRING ((609054.069663731 7797960.22879368, 608973.631452624 7797984.10393397));83.91
