ID_REDE_PRIORIZACAO_ONIBUS;NOME_ROTA;SITUACAO;INFRAESTRUTURA_ATUAL;INFRAESTRUTURA_PLANEJADA;ANO_IMPLANT_INFRA_ATUAL;HORIZONTE_IMPLANTACAO;POSICIONAMENTO_VIA;SISTEMA_BRT;REFERENCIA_LOGRADOURO;EXTENSAO_REDE_PLANEJADA;TIPO_LOGRADOURO;NOME_LOGRADOURO;LOGRAD_INICIAL;LOGRAD_FINAL;GEOMETRIA;EXTENSAO_TRECHO
1781;BRT ROTOR PARANA/SANTOS DUMONT;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;140.936;AVE;PARANA;RUA DOS TUPINAMBAS;RUA DOS CARIJOS;MULTILINESTRING ((610763.738282525 7797350.15297285, 610728.050268412 7797213.81072492));140.936
226;ROTA NOSSA SENHORA DO CARMO;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2009;0;LATERAL;NÃO;;127.486;AVE;NOSSA SENHORA DO CARMO;RUA RIO VERDE;RUA CRISTINA;MULTILINESTRING ((611469.359916464 7794124.50954322, 611437.126911111 7794001.17464768));127.486
1590;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;197.634;AVE;AMAZONAS;AVE BARBACENA;RUA GONCALVES DIAS;MULTILINESTRING ((609718.239438394 7796324.06183072, 609548.878042399 7796222.20256388));197.634
1591;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;195.181;AVE;AMAZONAS;RUA ARAGUARI;AVE BARBACENA;MULTILINESTRING ((609886.636070607 7796422.74174471, 609718.239438394 7796324.06183072));195.181
1898;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;71.176;AVE;VILARINHO;RUA DELNIZE SOUTO MAYOR;RUA BARROSO;MULTILINESTRING ((608965.567016902 7808955.48074202, 608925.640638821 7808967.76824094, 608896.417366636 7808970.99758361));71.176
1899;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;42.462;AVE;VILARINHO;RUA EPHIGENIA DE CASTRO BELFORT;RUA DELNIZE SOUTO MAYOR;MULTILINESTRING ((609004.594597955 7808938.98409987, 608971.957546232 7808953.87106967, 608965.567016902 7808955.48074202));42.462
282;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2020;LATERAL;NÃO;;140.056;RUA;DOS TIMBIRAS;RUA ALAGOAS;RUA SERGIPE;MULTILINESTRING ((611547.662453898 7796127.07192745, 611431.552720367 7796158.76547632, 611412.587278486 7796164.09439163));140.056
1900;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;29.34;AVE;VILARINHO;RUA CAPITAO NELSON ALBUQUERQUE;RUA EPHIGENIA DE CASTRO BELFORT;MULTILINESTRING ((609030.148469428 7808924.56703442, 609004.594597955 7808938.98409987));29.34
286;ROTA HOSPITALAR;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;199.081;RUA;GOIAS;AVE JOAO PINHEIRO;RUA DOS GUAJAJARAS;MULTILINESTRING ((611347.494583613 7796470.12210058, 611375.373783178 7796424.47139265, 611429.944780729 7796331.47032275, 611447.945458827 7796298.27707914));199.081
26;ROTA HOSPITALAR;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;190.36;AVE;PROFESSOR ALFREDO BALENA;RUA RIO GRANDE DO NORTE;RUA PADRE ROLIM;MULTILINESTRING ((612061.197144963 7796424.82132142, 611896.247275666 7796329.79066464));190.36
27;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2020;LATERAL;NÃO;;198.367;AVE;PROFESSOR ALFREDO BALENA;RUA PARAIBA;AVE CARANDAI;MULTILINESTRING ((611889.485683343 7796325.08162315, 611716.933145606 7796227.23154025));198.367
278;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2020;LATERAL;NÃO;;140.454;RUA;PARAIBA;AVE PROFESSOR ALFREDO BALENA;AVE CARANDAI;MULTILINESTRING ((611889.485683343 7796325.08162315, 611878.106418215 7796288.71902465, 611857.120744482 7796208.38537633, 611852.016566862 7796189.75916764));140.454
210;BRT ROTOR PARANA/SANTOS DUMONT;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;139.561;AVE;SANTOS DUMONT;RUA ESPIRITO SANTO;RUA RIO DE JANEIRO;MULTILINESTRING ((611315.377020081 7797440.86450878, 611180.28535298 7797475.89737794));139.561
